Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,OrlandoMagic,27.9,61,21,7.49,-0.37,7.12,111.4,103.3,92.0,.340,.350,.573,.536,13.6,24.6,.246,.477,12.2,77.4,.205,AmwayArena,715901
2,ClevelandCavaliers,28.0,59,23,6.52,-0.36,6.17,111.2,104.1,91.4,.341,.248,.570,.532,13.4,25.1,.246,.482,12.3,77.2,.218,QuickenLoansArena,843042
3,UtahJazz,25.6,55,27,5.34,-0.01,5.33,110.7,105.0,93.8,.340,.184,.565,.524,14.2,26.8,.252,.492,14.2,75.6,.269,EnergySolutionsArena,794512
4,SanAntonioSpurs,28.7,55,27,5.09,-0.02,5.07,110.0,104.5,91.7,.296,.232,.552,.515,12.9,26.8,.219,.483,12.1,76.3,.214,AT&TCenter,741676
5,LosAngelesLakers,28.4,54,28,4.72,0.06,4.78,108.8,103.7,92.8,.289,.227,.538,.496,12.4,27.6,.221,.484,13.2,74.4,.195,STAPLESCenter,778877
6,PhoenixSuns,28.5,54,28,4.90,-0.23,4.67,115.3,110.2,95.3,.312,.261,.585,.546,13.6,27.6,.240,.491,11.6,70.8,.224,USAirwaysCenter,723582
7,AtlantaHawks,26.5,54,28,4.66,-0.22,4.44,111.9,106.7,90.1,.281,.214,.545,.506,11.4,28.2,.213,.496,13.2,72.7,.208,PhilipsArena,678375
8,DenverNuggets,27.7,52,30,4.09,0.06,4.15,111.8,107.5,94.8,.376,.227,.561,.509,12.7,26.1,.290,.495,13.8,72.4,.251,PepsiCenter,737301
9,OklahomaCityThunder,23.2,51,31,3.49,0.06,3.55,108.3,104.6,93.1,.333,.185,.547,.494,13.9,28.6,.268,.483,14.0,73.6,.229,OklahomaCityArena,738149
10,BostonCeltics,29.4,52,30,3.66,-0.29,3.37,107.7,103.8,91.6,.332,.228,.564,.522,14.5,22.8,.248,.487,14.9,73.8,.251,TDGarden,763584
11,PortlandTrailBlazers,26.6,51,31,3.30,-0.13,3.18,110.8,107.1,87.7,.315,.215,.547,.499,12.1,28.2,.249,.502,13.3,74.8,.219,RoseGardenArena,840371
12,DallasMavericks,30.7,49,33,2.72,-0.06,2.66,109.2,106.3,92.5,.277,.222,.552,.506,12.3,24.3,.226,.495,13.6,73.7,.206,AmericanAirlinesCenter,819770
13,MiamiHeat,27.1,48,34,2.28,-0.29,1.99,106.6,104.1,89.6,.296,.219,.537,.496,12.8,26.1,.223,.480,13.9,74.9,.246,AmericanAirlinesArena,726935
14,MilwaukeeBucks,26.4,46,36,1.70,-0.32,1.37,104.9,103.1,91.7,.239,.259,.518,.482,12.3,26.2,.181,.486,14.6,76.4,.266,BradleyCenter,619453
15,CharlotteBobcats,27.4,45,37,1.46,-0.17,1.30,104.4,102.8,90.4,.346,.211,.538,.490,15.1,26.5,.260,.491,14.7,74.2,.194,TimeWarnerCableArena,648520
16,HoustonRockets,26.0,40,42,-0.37,0.35,-0.02,107.6,108.0,94.0,.292,.265,.537,.494,13.2,26.9,.225,.511,13.6,73.8,.215,ToyotaCenter,677658
17,MemphisGrizzlies,24.1,37,45,-1.51,0.13,-1.39,108.3,109.9,93.6,.320,.148,.536,.494,13.7,31.3,.235,.520,13.2,73.3,.205,FedExForum,552914
18,ChicagoBulls,26.2,36,46,-1.63,0.00,-1.64,103.5,105.3,93.1,.287,.156,.520,.477,13.3,26.6,.217,.484,12.3,74.8,.212,UnitedCenter,849760
19,TorontoRaptors,25.2,36,46,-1.78,-0.05,-1.83,111.3,113.2,93.1,.319,.211,.564,.521,12.7,24.7,.244,.513,11.8,72.9,.247,AirCanadaCentre,733784
20,NewOrleansHornets,27.5,34,48,-2.46,0.19,-2.27,107.4,110.1,92.6,.243,.230,.543,.506,12.7,24.8,.189,.523,13.5,73.8,.205,NewOrleansArena,617366
21,IndianaPacers,26.6,33,49,-3.01,-0.10,-3.11,103.7,106.8,97.1,.296,.278,.536,.491,13.8,21.6,.229,.490,13.4,73.0,.258,ConsecoFieldhouse,582295
22,GoldenStateWarriors,25.1,32,50,-3.60,0.32,-3.28,108.1,111.7,100.4,.294,.238,.557,.514,13.1,20.9,.230,.525,15.1,68.5,.260,OracleArena,739120
23,Philadelphia76ers,25.4,30,52,-3.90,-0.03,-3.93,106.1,110.3,91.6,.270,.206,.534,.496,13.7,27.6,.204,.518,13.8,73.2,.231,WachoviaCenter,583219
24,NewYorkKnicks,25.4,31,51,-3.82,-0.19,-4.01,107.6,111.6,94.0,.256,.312,.547,.509,13.0,23.5,.200,.526,13.3,72.1,.207,MadisonSquareGarden(IV),799550
25,SacramentoKings,24.1,29,53,-4.37,0.30,-4.06,105.3,109.9,94.0,.286,.201,.528,.491,13.6,27.8,.207,.505,12.6,73.5,.244,PowerBalancePavilion,543416
26,WashingtonWizards,27.6,28,54,-4.78,0.06,-4.72,104.2,109.4,91.6,.283,.183,.524,.481,13.9,27.6,.216,.502,12.8,72.4,.239,VerizonCenter,664398
27,DetroitPistons,26.7,26,56,-5.11,0.09,-5.02,105.6,111.4,88.5,.303,.180,.515,.474,12.8,30.3,.220,.526,14.2,73.4,.264,ThePalaceofAuburnHills,768826
28,LosAngelesClippers,27.3,24,58,-6.35,0.34,-6.01,103.3,110.1,92.6,.283,.221,.529,.491,14.8,27.1,.206,.509,12.2,74.0,.214,STAPLESCenter,670063
29,NewJerseyNets,24.8,17,65,-9.12,0.19,-8.93,100.6,110.5,91.4,.307,.181,.509,.458,13.7,25.1,.240,.517,13.3,71.8,.229,IzodCenter,537230
30,MinnesotaTimberwolves,24.1,17,65,-9.60,0.54,-9.06,101.7,111.6,96.1,.278,.171,.518,.478,14.6,26.7,.207,.525,13.0,73.6,.220,TargetCenter,619170
