Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,LosAngelesLakers,29.2,64,18,8.55,-0.14,8.41,107.3,98.2,93.3,.346,.153,.525,.484,12.7,30.6,.241,.443,13.4,73.1,.222,STAPLESCenter,771420
2,PortlandTrailBlazers,29.6,59,23,6.40,-0.04,6.36,107.9,100.8,89.9,.316,.175,.546,.501,14.5,30.3,.240,.461,13.8,72.4,.217,RoseGardenArena,835078
3,SanAntonioSpurs,30.9,58,24,5.94,-0.02,5.92,105.0,98.6,90.8,.346,.138,.535,.488,14.3,27.8,.258,.451,13.5,73.0,.188,Alamodome,884450
4,PhoenixSuns,28.6,56,26,5.22,0.02,5.24,104.6,99.0,94.0,.286,.184,.532,.491,15.2,29.3,.217,.454,15.7,70.5,.245,AmericaWestArena,773115
5,UtahJazz,31.5,54,28,4.46,0.05,4.52,107.3,102.3,89.6,.337,.134,.540,.490,14.3,29.5,.260,.477,15.0,73.2,.256,DeltaCenter,801268
6,IndianaPacers,30.4,54,28,4.60,-0.45,4.15,108.5,103.6,93.1,.302,.224,.552,.503,13.3,24.9,.245,.469,12.6,71.5,.197,ConsecoFieldhouse,752145
7,SacramentoKings,27.5,49,33,2.91,0.12,3.04,105.0,102.1,99.3,.277,.227,.526,.486,13.9,27.7,.209,.479,15.1,69.7,.198,ARCOArena(II),720033
8,MiamiHeat,29.2,50,32,3.11,-0.36,2.75,104.5,101.0,89.7,.283,.186,.533,.495,14.5,28.2,.208,.453,13.3,72.9,.229,AmericanAirlinesArena,706725
9,MinnesotaTimberwolves,26.6,48,34,2.52,0.14,2.67,106.1,103.4,91.8,.256,.104,.525,.485,12.9,29.4,.200,.474,14.0,73.0,.250,TargetCenter,690012
10,CharlotteHornets,28.7,49,33,2.67,-0.34,2.33,104.3,101.4,93.9,.376,.153,.530,.475,13.7,25.7,.285,.478,14.6,73.2,.198,CharlotteColiseum,732827
11,NewYorkKnicks,29.5,46,36,1.46,-0.16,1.30,102.5,100.9,89.2,.283,.147,.527,.482,14.4,24.7,.221,.455,13.6,73.1,.251,MadisonSquareGarden(IV),810103
12,SeattleSuperSonics,28.5,44,38,0.95,0.22,1.17,105.6,104.6,93.4,.282,.232,.520,.487,12.9,28.5,.196,.483,14.0,69.6,.193,KeyArenaatSeattleCenter,615730
13,DetroitPistons,28.3,45,37,1.44,-0.31,1.13,107.3,105.8,95.7,.378,.184,.548,.492,14.3,26.8,.295,.499,15.4,71.6,.249,ThePalaceofAuburnHills,678470
14,Philadelphia76ers,27.1,45,37,1.34,-0.32,1.02,101.5,100.0,92.7,.329,.095,.501,.457,14.2,31.4,.233,.466,16.2,69.9,.229,FirstUnionCenter,756956
