
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0.0,OWS,DWS,WS,WS/48,0.0,OBPM,DBPM,BPM,VORP
1,KareemAbdul-Jabbar,C,40,LAL,80,2308,15.8,.570,.001,.298,6.1,16.9,11.7,8.4,1.0,2.2,13.5,21.4,0.0,2.6,2.7,5.3,.111,0.0,-0.8,0.2,-0.6,0.8
2,MarkAcres,C,25,BOS,79,1151,9.3,.570,.000,.547,11.6,15.9,13.9,4.5,1.2,1.3,17.7,11.4,0.0,1.1,1.0,2.2,.090,0.0,-1.0,0.0,-1.0,0.3
3,AlvanAdams,C,33,PHO,82,1646,13.1,.543,.004,.253,8.0,17.0,12.5,14.9,2.4,1.4,19.9,17.4,0.0,0.6,1.6,2.2,.064,0.0,-1.2,1.5,0.3,1.0
4,MichaelAdams,PG,25,DEN,82,2778,15.6,.560,.409,.215,1.5,7.2,4.2,22.5,2.8,0.3,12.4,16.2,0.0,4.4,3.2,7.5,.130,0.0,2.3,0.0,2.2,3.0
5,MarkAguirre,SF,28,DAL,77,2610,21.9,.539,.109,.321,7.7,10.3,9.0,18.4,1.3,1.3,10.2,31.6,0.0,6.5,2.3,8.8,.163,0.0,4.3,-1.2,3.1,3.4
6,DannyAinge,SG,28,BOS,81,3018,15.9,.598,.364,.183,2.5,7.0,4.9,22.2,1.9,0.3,12.6,17.3,0.0,6.7,1.9,8.6,.136,0.0,3.9,-1.1,2.9,3.7
7,MarkAlarie,PF,24,WSB,63,769,11.6,.508,.060,.163,10.1,13.2,11.6,7.7,0.6,0.9,13.5,19.9,0.0,0.3,0.6,0.9,.058,0.0,-1.4,-1.5,-3.0,-0.2
8,SteveAlford,PG,23,DAL,28,197,11.6,.472,.145,.309,1.7,10.9,6.3,15.4,4.3,0.9,16.1,15.6,0.0,0.0,0.3,0.3,.082,0.0,-2.6,1.8,-0.8,0.1
9,GregAnderson,PF,23,SAS,82,1984,14.7,.531,.007,.434,8.7,19.4,14.0,5.3,1.3,3.4,13.7,20.8,0.0,0.8,1.5,2.3,.056,0.0,-2.2,-0.6,-2.7,-0.4
10,RichardAnderson,PF,27,TOT,74,1350,11.1,.474,.342,.175,7.3,17.0,12.1,10.4,1.8,0.7,11.4,15.6,0.0,0.7,1.6,2.3,.082,0.0,-0.7,0.5,-0.2,0.6
