
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,GoldenStateWarriors,82,19880,3767,7427,.507,254,763,.333,3513,6664,.527,1944,2606,.746,1137,2376,3513,2064,854,375,1353,2049,9732,118.7
2,IndianaPacers,82,19955,3498,7079,.494,333,940,.354,3165,6139,.516,1868,2364,.790,1083,2564,3647,2398,705,393,1402,2137,9197,112.2
3,PhoenixSuns,82,19805,3553,7219,.492,227,596,.381,3326,6623,.502,1861,2397,.776,1088,2558,3646,2202,673,582,1242,1852,9194,112.1
4,PortlandTrailBlazers,82,19880,3476,7352,.473,325,944,.344,3151,6408,.492,1858,2463,.754,1294,2549,3843,2065,753,410,1328,1983,9135,111.4
5,ChicagoBulls,82,19830,3643,7168,.508,138,454,.304,3505,6714,.522,1587,2132,.744,1173,2439,3612,2279,672,480,1088,1693,9011,109.9
6,CharlotteHornets,82,19805,3613,7568,.477,117,369,.317,3496,7199,.486,1637,2168,.755,1164,2367,3531,2284,822,309,1273,1819,8980,109.5
7,ClevelandCavaliers,82,19805,3427,7025,.488,253,708,.357,3174,6317,.502,1819,2259,.805,1041,2450,3491,2260,616,621,1073,1556,8926,108.9
8,UtahJazz,82,19880,3379,6866,.492,158,458,.345,3221,6408,.503,1961,2490,.788,1097,2543,3640,2188,715,448,1264,1746,8877,108.3
9,BostonCeltics,82,19780,3543,7196,.492,110,359,.306,3433,6837,.502,1549,1917,.808,1095,2583,3678,2072,636,484,1165,1686,8745,106.6
10,SeattleSuperSonics,82,19855,3380,7128,.474,205,647,.317,3175,6481,.490,1772,2263,.783,1282,2257,3539,1877,775,448,1323,1952,8737,106.5
11,AtlantaHawks,82,19905,3492,7476,.467,210,671,.313,3282,6805,.482,1517,2074,.731,1288,2498,3786,2123,793,320,1255,1771,8711,106.2
12,NewJerseyNets,82,19780,3473,7580,.458,224,670,.334,3249,6910,.470,1471,2009,.732,1512,2392,3904,1937,736,615,1392,1834,8641,105.4
13,MilwaukeeBucks,82,19880,3321,7216,.460,371,1005,.369,2950,6211,.475,1596,2104,.759,1297,2172,3469,2018,863,317,1350,1904,8609,105.0
14,MiamiHeat,82,19830,3256,7061,.461,257,751,.342,2999,6310,.475,1839,2329,.790,1187,2366,3553,1749,670,373,1377,1819,8608,105.0
15,SacramentoKings,82,19830,3348,7189,.466,238,675,.353,3110,6514,.477,1615,2162,.747,1054,2354,3408,1957,727,618,1360,1763,8549,104.3
16,SanAntonioSpurs,82,19780,3377,7090,.476,118,404,.292,3259,6686,.487,1652,2246,.736,1229,2552,3781,2010,729,608,1308,1799,8524,104.0
17,LosAngelesClippers,82,19830,3347,7076,.473,145,502,.289,3202,6574,.487,1601,2223,.720,1132,2393,3525,2053,824,498,1269,1873,8440,102.9
18,WashingtonBullets,82,19855,3364,7301,.461,146,537,.272,3218,6764,.476,1521,1956,.778,1069,2345,3414,2011,713,422,1254,1852,8395,102.4
19,HoustonRockets,82,19880,3273,6894,.475,329,959,.343,2944,5935,.496,1491,2020,.738,1074,2432,3506,2058,656,571,1378,1769,8366,102.0
20,Philadelphia76ers,82,19755,3187,6761,.471,227,680,.334,2960,6081,.487,1757,2267,.775,1058,2309,3367,1755,692,482,1238,1582,8358,101.9
21,OrlandoMagic,82,19705,3220,7102,.453,197,608,.324,3023,6494,.466,1693,2268,.746,1171,2329,3500,1792,643,367,1389,1977,8330,101.6
22,NewYorkKnicks,82,19855,3312,6947,.477,201,618,.325,3111,6329,.492,1503,2049,.734,1185,2489,3674,2130,634,382,1242,1905,8328,101.6
23,MinnesotaTimberwolves,82,19805,3366,7342,.458,126,394,.320,3240,6948,.466,1379,1857,.743,1167,2168,3335,2025,619,526,1157,1866,8237,100.5
24,LosAngelesLakers,82,19830,3183,6977,.456,119,445,.267,3064,6532,.469,1744,2278,.766,1156,2196,3352,1803,756,400,1089,1543,8229,100.4
25,DenverNuggets,82,19780,3262,7380,.442,126,418,.301,3136,6962,.450,1526,2067,.738,1350,2352,3702,1553,773,461,1447,1984,8176,99.7
26,DetroitPistons,82,19780,3191,6867,.465,165,526,.314,3026,6341,.477,1566,2108,.743,1210,2421,3631,1899,546,357,1212,1646,8113,98.9
27,DallasMavericks,82,19755,3120,7104,.439,268,797,.336,2852,6307,.452,1499,1999,.750,1194,2439,3633,1630,536,349,1202,1867,8007,97.6
,LeagueAverage,82,19826,3384,7163,.472,207,626,.331,3177,6537,.486,1660,2188,.759,1177,2403,3581,2007,709,452,1275,1823,8635,105.3
