Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,SeattleSuperSonics,28.1,64,18,9.09,-0.41,8.68,111.1,101.5,95.1,.344,.105,.547,.501,13.7,34.4,.256,.479,18.2,67.3,.272,SeattleCenterColiseum,601369
2,NewYorkKnicks,28.9,60,22,6.99,-0.50,6.48,105.7,98.2,92.8,.311,.135,.527,.483,15.1,34.4,.232,.451,16.0,71.4,.261,MadisonSquareGarden(IV),810193
3,SanAntonioSpurs,29.0,56,26,5.26,-0.21,5.05,110.4,104.6,90.1,.322,.107,.537,.494,13.6,35.6,.239,.467,11.7,70.5,.196,Alamodome,904190
4,AtlantaHawks,28.7,56,26,5.27,-0.33,4.94,107.2,101.7,94.2,.294,.118,.523,.480,13.6,34.6,.221,.475,16.0,67.7,.185,OmniColiseum,537547
5,PhoenixSuns,28.7,54,28,4.84,-0.17,4.68,111.7,106.8,96.7,.325,.147,.548,.509,13.9,35.2,.236,.493,13.5,69.3,.202,AmericaWestArena,779952
6,HoustonRockets,28.1,53,29,4.32,-0.12,4.19,105.9,101.4,95.0,.294,.191,.545,.507,15.0,27.6,.218,.458,13.3,69.7,.192,TheSummit,615227
7,UtahJazz,29.4,53,29,4.22,-0.12,4.10,108.6,104.1,93.1,.354,.083,.537,.490,13.3,31.3,.262,.469,14.6,68.4,.267,DeltaCenter,814502
8,OrlandoMagic,25.8,52,30,3.89,-0.21,3.68,110.8,106.7,95.2,.341,.165,.547,.514,14.4,33.8,.231,.479,13.3,66.3,.214,OrlandoArena,626931
9,ClevelandCavaliers,27.9,52,30,4.02,-0.39,3.64,109.4,105.1,91.7,.335,.121,.537,.487,12.8,31.8,.258,.484,14.5,69.0,.215,ColiseumatRichfield,753686
10,IndianaPacers,27.2,51,31,3.45,-0.19,3.26,107.8,104.2,93.3,.366,.077,.547,.500,16.0,34.4,.270,.471,14.9,68.0,.267,MarketSquareArena,531812
11,ChicagoBulls,27.7,50,32,3.09,-0.22,2.87,106.1,102.7,91.9,.273,.097,.526,.493,14.6,33.8,.192,.482,15.3,70.8,.225,ChicagoStadium,760816
12,PortlandTrailBlazers,28.6,48,34,2.63,-0.04,2.60,108.1,105.5,98.8,.323,.104,.518,.472,12.5,34.4,.240,.490,14.8,70.8,.235,MemorialColiseum,528408
13,MiamiHeat,26.0,48,34,2.67,-0.27,2.40,109.5,106.7,93.8,.322,.145,.538,.488,14.3,35.3,.253,.479,14.5,69.1,.284,MiamiArena,617242
14,NewJerseyNets,26.6,47,35,2.20,-0.08,2.11,107.2,104.9,95.5,.351,.096,.515,.461,12.7,34.0,.267,.475,13.5,69.1,.212,BrendanByrneArena,658304
15,GoldenStateWarriors,25.0,46,36,1.74,0.01,1.76,108.3,106.5,99.1,.322,.120,.542,.512,14.9,32.9,.214,.488,14.7,64.4,.210,Oakland-AlamedaCountyColiseumArena,616025
16,DenverNuggets,24.8,45,37,1.49,0.05,1.54,103.9,102.3,96.1,.357,.088,.524,.478,15.3,32.2,.256,.453,13.4,69.6,.252,McNicholsSportsArena,673738
17,CharlotteHornets,27.6,40,42,-0.22,-0.01,-0.23,108.4,108.6,97.5,.301,.129,.543,.500,13.6,29.2,.230,.492,13.2,67.0,.205,CharlotteColiseum,971609
18,LosAngelesLakers,26.5,29,53,-4.29,0.36,-3.93,104.8,109.3,95.5,.269,.110,.503,.466,12.8,33.2,.193,.492,14.3,63.2,.240,GreatWesternForum,545915
19,BostonCeltics,27.8,29,53,-4.28,0.01,-4.28,104.2,108.7,95.6,.284,.068,.521,.482,13.5,29.3,.207,.494,13.7,67.8,.238,BostonGarden,604867
20,LosAngelesClippers,27.0,26,56,-5.72,0.44,-5.28,102.9,108.6,99.6,.297,.116,.521,.484,15.4,30.4,.211,.494,14.0,64.1,.213,LosAngelesMemorialSportsArena,471034
21,SacramentoKings,26.7,26,56,-5.77,0.44,-5.32,103.3,109.2,97.5,.326,.104,.516,.471,14.2,30.4,.239,.499,14.2,66.4,.252,ARCOArena(II),710497
22,MilwaukeeBucks,26.1,24,58,-6.48,0.24,-6.24,102.5,109.3,94.5,.320,.150,.512,.471,14.7,31.1,.225,.513,15.7,66.5,.254,BradleyCenter,634047
23,MinnesotaTimberwolves,26.2,23,59,-6.93,0.38,-6.55,101.9,109.2,94.7,.352,.085,.525,.471,16.4,30.1,.272,.488,12.8,68.0,.259,TargetCenter,733419
24,WashingtonBullets,25.8,22,60,-7.38,0.25,-7.13,104.5,112.2,95.9,.317,.109,.529,.484,15.3,31.2,.237,.526,14.0,66.2,.206,USAirwaysArena,619756
25,Philadelphia76ers,27.2,21,61,-7.62,0.25,-7.37,101.7,109.7,95.7,.310,.138,.518,.478,15.0,28.0,.221,.502,12.8,66.6,.177,TheSpectrum,491769
26,DetroitPistons,27.5,21,61,-7.78,0.33,-7.46,102.7,110.9,94.2,.244,.148,.511,.477,13.7,28.4,.179,.493,12.8,66.1,.262,ThePalaceofAuburnHills,806641
27,DallasMavericks,25.3,19,63,-8.70,0.50,-8.19,100.4,109.6,94.5,.275,.109,.492,.449,15.0,33.7,.205,.513,15.8,66.1,.283,ReunionArena,526414

