Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,ChicagoBulls,31.7,61,21,7.11,0.13,7.24,107.7,99.8,89.0,.295,.141,.516,.473,13.3,35.7,.219,.457,14.7,70.6,.220,UnitedCenter,983444
2,LosAngelesLakers,25.8,61,21,7.74,-0.87,6.88,111.9,103.7,93.6,.420,.216,.559,.519,14.0,31.6,.285,.467,14.1,68.8,.245,GreatWesternForum,676101
3,SeattleSuperSonics,31.1,61,21,7.17,-0.84,6.33,111.6,103.6,89.8,.327,.243,.558,.521,13.4,28.7,.236,.478,15.9,66.1,.223,KeyArenaatSeattleCenter,699952
4,IndianaPacers,29.7,59,23,6.09,0.16,6.25,108.4,101.6,87.9,.343,.165,.550,.502,14.0,27.9,.262,.453,14.4,67.8,.236,MarketSquareArena,645302
5,UtahJazz,29.7,59,23,6.54,-0.81,5.73,112.7,105.4,89.2,.433,.110,.569,.510,14.8,32.3,.334,.471,13.5,71.0,.271,DeltaCenter,815889
6,MiamiHeat,28.1,56,26,4.93,0.16,5.09,107.6,102.0,87.9,.329,.244,.538,.494,14.5,31.5,.243,.452,14.2,69.6,.257,MiamiArena,614861
7,PhoenixSuns,28.2,56,26,5.18,-0.75,4.44,107.4,101.8,91.4,.290,.180,.540,.500,14.0,29.7,.217,.471,15.3,70.0,.227,AmericaWestArena,779943
8,AtlantaHawks,29.4,51,31,3.51,0.34,3.85,108.2,104.3,87.7,.364,.160,.533,.481,14.1,33.9,.275,.468,13.0,69.1,.194,GeorgiaDome,610615
9,SanAntonioSpurs,28.7,53,29,3.99,-0.69,3.30,103.8,99.4,88.4,.350,.139,.531,.493,15.6,30.6,.241,.437,12.2,72.2,.218,Alamodome,783455
10,ClevelandCavaliers,24.6,49,33,2.73,0.33,3.06,102.2,99.1,89.9,.352,.129,.529,.478,16.5,30.0,.266,.460,16.8,71.1,.264,GundArena,694629
11,NewYorkKnicks,30.2,49,33,2.46,0.28,2.74,103.0,100.3,88.2,.283,.178,.521,.476,14.7,29.5,.218,.455,14.7,74.0,.282,MadisonSquareGarden(IV),810283
12,CharlotteHornets,29.2,47,35,2.00,0.45,2.45,107.5,105.3,89.4,.345,.142,.542,.495,14.6,30.4,.259,.493,14.6,70.8,.224,CharlotteColiseum,959634
13,DetroitPistons,27.2,46,36,1.57,0.37,1.95,105.3,103.5,88.2,.359,.147,.523,.472,14.0,30.9,.267,.474,14.8,70.2,.243,ThePalaceofAuburnHills,794567
14,NewJerseyNets,27.8,46,36,1.57,0.31,1.88,108.3,106.6,91.0,.339,.135,.513,.463,12.9,36.7,.253,.499,16.7,66.4,.258,ContinentalAirlinesArena,718514
15,WashingtonWizards,26.7,43,39,0.59,0.53,1.11,105.2,104.5,91.8,.317,.139,.513,.476,13.0,31.2,.219,.481,15.1,69.5,.248,MCICenter,801240
16,PortlandTrailBlazers,26.1,45,37,1.40,-0.57,0.83,104.0,102.4,90.0,.348,.164,.524,.476,15.8,33.0,.256,.460,13.4,71.4,.249,RoseGardenArena,846559
17,MinnesotaTimberwolves,26.4,43,39,0.71,-0.54,0.17,107.8,107.1,92.6,.329,.128,.529,.483,12.7,30.6,.244,.480,13.5,68.5,.240,TargetCenter,738590
18,OrlandoMagic,30.8,38,44,-1.07,0.54,-0.53,102.6,103.8,87.1,.331,.141,.499,.452,14.5,34.2,.240,.478,14.8,66.9,.202,OrlandoArena,667322
19,HoustonRockets,32.0,39,43,-0.76,-0.47,-1.23,107.7,108.6,91.0,.326,.256,.544,.496,14.8,29.8,.251,.499,13.3,69.3,.208,TheSummit,670117
20,MilwaukeeBucks,27.6,35,47,-1.91,0.58,-1.33,103.5,105.6,90.2,.339,.110,.527,.475,15.8,31.4,.260,.485,15.5,69.1,.282,BradleyCenter,638034
21,Philadelphia76ers,25.4,34,48,-2.39,0.50,-1.89,102.8,105.4,90.4,.367,.126,.514,.462,15.4,32.5,.271,.481,15.1,67.3,.256,CoreStatesCenter,655417
22,BostonCeltics,23.9,33,49,-2.62,0.66,-1.96,102.6,105.4,93.3,.283,.180,.504,.464,14.6,32.8,.206,.504,19.0,66.8,.343,FleetCenter,739422
23,SacramentoKings,26.6,25,57,-5.59,-0.25,-5.83,100.8,106.9,92.1,.314,.121,.502,.464,14.3,30.2,.215,.482,14.0,66.6,.230,ARCOArena(II),605443
24,DallasMavericks,26.3,24,58,-6.11,-0.22,-6.33,100.5,107.2,89.9,.257,.175,.498,.458,13.6,27.6,.194,.488,14.0,65.1,.195,ReunionArena,503936
