Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,PhoenixSuns,26.7,58,24,7.10,-0.01,7.09,113.1,106.2,100.7,.380,.076,.565,.509,13.3,31.1,.302,.478,12.8,68.8,.209,ArizonaVeteransMemorialColiseum,578661
2,LosAngelesLakers,28.9,58,24,6.78,-0.04,6.74,114.0,107.0,96.3,.345,.120,.562,.512,13.2,32.8,.271,.479,12.8,68.5,.219,GreatWesternForum,712498
3,PortlandTrailBlazers,26.7,57,25,6.32,0.16,6.48,110.5,104.4,102.3,.362,.075,.535,.486,13.4,36.5,.269,.479,15.2,70.8,.265,MemorialColiseum,528132
4,DetroitPistons,29.5,57,25,6.09,-0.68,5.41,109.9,103.5,94.4,.323,.078,.537,.490,13.4,34.2,.245,.461,13.7,70.3,.262,ThePalaceofAuburnHills,879705
5,UtahJazz,27.6,54,28,4.79,0.03,4.82,110.3,105.4,96.1,.377,.096,.570,.522,15.5,30.1,.284,.468,13.4,69.5,.268,SaltPalace,517256
6,Philadelphia76ers,27.4,54,28,4.99,-0.75,4.23,113.5,108.4,96.5,.357,.077,.556,.502,12.9,32.0,.281,.495,13.3,68.4,.223,TheSpectrum,565926
7,SanAntonioSpurs,26.4,50,32,3.49,0.09,3.58,107.7,104.2,98.5,.362,.032,.537,.488,14.7,34.2,.270,.477,15.0,68.7,.235,HemisFairArena,586787
8,BostonCeltics,30.2,51,31,3.99,-0.76,3.23,112.0,107.9,98.2,.301,.057,.557,.506,13.4,31.5,.251,.477,10.8,72.1,.223,BostonGarden,611537
9,ChicagoBulls,26.1,50,32,3.26,-0.51,2.74,112.3,109.0,96.7,.302,.094,.559,.516,13.4,31.9,.235,.508,15.2,68.1,.262,ChicagoStadium,752564
10,HoustonRockets,27.9,45,37,1.46,0.24,1.71,104.8,103.4,101.2,.313,.068,.531,.491,15.5,33.1,.225,.475,14.7,69.2,.228,TheSummit,649702
11,DenverNuggets,29.5,45,37,1.41,0.15,1.56,108.0,106.7,105.4,.275,.084,.523,.478,11.2,29.1,.217,.501,15.2,71.3,.264,McNicholsSportsArena,484288
12,SeattleSuperSonics,25.6,44,38,1.04,0.36,1.40,110.9,109.8,95.3,.299,.090,.535,.494,14.0,37.5,.222,.499,14.3,69.1,.297,SeattleCenterColiseum,473277
13,NewYorkKnicks,26.5,45,37,1.41,-0.63,0.78,109.4,108.0,98.2,.331,.100,.547,.501,14.8,34.2,.250,.482,13.3,66.0,.215,MadisonSquareGarden(IV),730432
14,AtlantaHawks,28.6,44,38,1.02,-0.39,0.64,113.0,111.9,95.8,.362,.059,.547,.496,13.5,36.3,.277,.509,14.0,65.5,.254,OmniColiseum,573711
15,DallasMavericks,29.2,41,41,0.07,0.35,0.42,107.2,107.2,94.5,.331,.071,.536,.487,13.6,30.3,.254,.481,13.4,67.9,.232,ReunionArena,691490
16,IndianaPacers,26.4,41,41,0.16,-0.34,-0.18,111.5,111.4,97.0,.343,.113,.572,.518,14.6,29.0,.280,.494,12.6,67.1,.250,MarketSquareArena,518923
17,ClevelandCavaliers,26.1,40,42,-0.30,-0.31,-0.62,106.9,107.2,95.0,.315,.122,.529,.485,13.5,31.5,.235,.490,14.0,67.7,.202,ColiseumatRichfield,695710
18,MilwaukeeBucks,28.1,39,43,-0.78,-0.28,-1.06,107.3,108.1,98.0,.318,.094,.533,.488,13.9,31.5,.241,.492,15.8,66.0,.290,BradleyCenter,659602
19,WashingtonBullets,27.5,35,47,-2.16,-0.27,-2.43,107.5,109.7,99.4,.276,.026,.519,.477,12.4,32.4,.211,.484,12.4,67.2,.249,CapitalCentre,458332
20,GoldenStateWarriors,26.0,33,49,-3.13,0.59,-2.55,109.6,112.6,105.9,.397,.104,.563,.501,14.3,26.1,.321,.494,13.6,61.5,.253,Oakland-AlamedaCountyColiseumArena,616025
21,LosAngelesClippers,24.5,32,50,-3.39,0.59,-2.80,104.0,107.4,99.2,.359,.034,.536,.488,16.3,30.9,.265,.489,14.3,67.3,.241,LosAngelesMemorialSportsArena,486621
22,MinnesotaTimberwolves,26.2,29,53,-4.23,0.63,-3.60,103.6,108.2,91.1,.311,.043,.499,.451,13.3,34.0,.232,.492,15.5,66.2,.291,HubertH.HumphreyMetrodome,1072572
23,SacramentoKings,26.4,28,54,-5.06,0.65,-4.41,104.8,110.0,96.7,.278,.092,.527,.484,13.5,27.3,.215,.484,12.5,67.3,.255,ARCOArena(II),697667
24,CharlotteHornets,25.6,21,61,-7.82,0.81,-7.00,102.0,109.9,98.1,.274,.085,.511,.470,13.2,26.1,.207,.506,14.7,67.5,.269,CharlotteColiseum,979941
25,NewJerseyNets,26.6,21,61,-7.87,0.05,-7.82,100.7,108.6,99.3,.317,.068,.486,.435,13.9,34.5,.237,.495,14.9,67.0,.272,BrendanByrneArena,473760
26,OrlandoMagic,26.5,21,61,-8.91,0.19,-8.73,105.8,114.3,104.1,.362,.052,.521,.467,13.9,33.7,.274,.511,12.1,67.8,.245,OrlandoArena,617468
27,MiamiHeat,24.7,18,64,-9.72,0.13,-9.59,99.3,108.9,101.0,.276,.041,.501,.467,15.9,33.5,.190,.499,15.2,67.3,.292,MiamiArena,615328

