Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
11,HoustonRockets,25.9,46,36,1.48,0.42,1.89,104.3,102.6,88.8,.316,.196,.522,.474,14.8,30.3,.243,.462,12.6,72.4,.209,CompaqCenter,565166
12,Philadelphia76ers,28.3,48,34,2.30,-0.55,1.76,105.0,102.5,91.4,.339,.119,.520,.466,13.7,30.3,.263,.488,16.2,72.7,.243,FirstUnionCenter,807097
13,PhoenixSuns,25.2,44,38,1.13,0.43,1.57,103.7,102.5,91.5,.285,.170,.514,.473,13.7,29.7,.211,.470,14.8,70.3,.222,AmericaWestArena,666559
14,NewOrleansHornets,29.1,47,35,2.11,-0.59,1.52,103.9,101.6,89.4,.285,.161,.511,.465,13.9,31.7,.219,.464,14.0,73.1,.226,NewOrleansArena,641683
15,SeattleSuperSonics,26.9,41,41,-0.12,0.49,0.37,103.7,103.9,88.0,.270,.196,.512,.472,12.8,28.1,.201,.484,14.3,71.8,.210,KeyArenaatSeattleCenter,637194
16,MilwaukeeBucks,29.3,42,40,0.23,-0.48,-0.24,108.8,108.6,90.4,.287,.229,.543,.500,12.2,25.6,.222,.494,13.5,69.9,.237,BradleyCenter,665966
17,OrlandoMagic,26.9,41,41,0.13,-0.53,-0.39,105.2,105.0,93.1,.307,.235,.526,.478,13.3,27.0,.239,.486,15.1,71.1,.250,TDWaterhouseCentre,605901
18,GoldenStateWarriors,24.4,38,44,-1.13,0.54,-0.60,108.3,109.5,94.2,.343,.178,.526,.472,13.9,35.0,.267,.482,12.2,67.9,.220,TheArenainOakland,634935
19,BostonCeltics,26.9,40,42,-0.39,-0.36,-0.75,101.2,101.6,90.9,.306,.331,.514,.470,13.4,23.6,.227,.471,15.1,72.5,.242,FleetCenter,709049
20,WashingtonWizards,28.4,38,44,-1.01,-0.46,-1.47,103.0,104.1,88.2,.325,.127,.513,.460,13.0,27.3,.253,.477,13.8,71.6,.212,MCICenter,827093
21,NewYorkKnicks,30.2,37,45,-1.35,-0.26,-1.61,104.7,106.2,90.7,.241,.235,.528,.486,13.4,24.4,.196,.485,13.7,71.8,.261,MadisonSquareGarden(IV),779479
22,MemphisGrizzlies,24.9,32,50,-3.23,0.63,-2.60,103.9,107.3,92.7,.287,.190,.526,.487,14.2,27.0,.212,.491,13.4,68.7,.197,PyramidArena,611322
23,LosAngelesClippers,25.3,29,53,-4.12,0.68,-3.45,102.3,106.8,91.3,.335,.182,.516,.467,14.8,29.1,.252,.481,13.1,70.2,.222,STAPLESCenter,706471
24,AtlantaHawks,27.2,31,51,-3.56,-0.31,-3.87,102.3,106.1,91.0,.313,.177,.527,.476,15.7,27.9,.248,.469,12.1,70.4,.222,PhilipsArena,528655
25,MiamiHeat,26.5,25,57,-5.05,-0.08,-5.13,96.7,102.4,87.8,.259,.169,.483,.439,13.8,26.8,.198,.470,14.1,73.9,.257,AmericanAirlinesArena,628242
26,ChicagoBulls,25.2,27,55,-5.13,-0.17,-5.31,100.2,105.6,93.5,.300,.148,.512,.471,15.4,27.7,.217,.470,13.3,69.5,.263,UnitedCenter,804309
27,TorontoRaptors,27.6,24,58,-5.87,-0.23,-6.10,100.5,107.0,89.9,.282,.179,.497,.458,13.6,28.2,.203,.489,13.1,70.7,.226,AirCanadaCentre,777507
28,DenverNuggets,24.1,17,65,-8.28,0.87,-7.41,92.2,101.3,91.0,.283,.126,.469,.428,17.1,31.3,.198,.477,16.5,73.3,.290,PepsiCenter,607813
29,ClevelandCavaliers,23.5,16,66,-9.62,0.04,-9.59,96.5,106.7,94.0,.298,.133,.491,.444,16.4,31.0,.223,.484,13.0,73.2,.252,GundArena,471374

