Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,DallasMavericks,28.1,62,20,7.78,0.12,7.90,110.7,102.3,92.5,.257,.239,.543,.498,10.9,25.4,.213,.473,14.8,70.9,.221,AmericanAirlinesCenter,816429
2,SacramentoKings,28.3,59,23,6.50,0.18,6.68,105.9,99.1,95.4,.262,.184,.535,.499,13.3,25.6,.196,.446,13.6,70.6,.204,ARCOArena(II),709997
3,SanAntonioSpurs,28.4,57,25,5.41,0.23,5.65,105.6,99.7,90.0,.348,.202,.541,.497,15.1,28.8,.253,.453,14.2,71.3,.199,SBCCenter,735970
4,NewJerseyNets,27.3,56,26,5.22,-0.80,4.42,103.8,98.1,91.6,.333,.158,.518,.468,13.8,28.7,.252,.460,15.7,73.1,.225,ContinentalAirlinesArena,622574
5,DetroitPistons,29.0,52,30,3.68,-0.71,2.97,104.1,99.9,86.8,.322,.237,.523,.473,13.3,25.9,.248,.461,13.9,74.0,.225,ThePalaceofAuburnHills,839278
6,PortlandTrailBlazers,29.2,49,33,2.61,0.36,2.97,105.5,102.6,89.4,.300,.177,.531,.489,14.5,30.2,.223,.483,14.9,72.3,.194,RoseGardenArena,796258
7,IndianaPacers,25.9,51,31,3.49,-0.70,2.79,104.6,100.8,91.6,.344,.169,.522,.469,13.7,29.0,.263,.458,14.3,72.3,.228,ConsecoFieldhouse,670461
8,UtahJazz,30.9,48,34,2.39,0.37,2.76,105.5,102.8,89.3,.380,.104,.537,.486,16.0,32.5,.283,.468,15.2,70.2,.256,DeltaCenter,786034
9,LosAngelesLakers,28.1,48,34,2.33,0.38,2.71,107.2,104.7,92.5,.311,.199,.528,.486,13.3,30.2,.228,.477,13.4,72.7,.241,STAPLESCenter,777888
10,MinnesotaTimberwolves,28.2,47,35,2.07,0.39,2.46,106.1,103.8,91.9,.268,.118,.528,.488,12.9,28.2,.206,.472,12.7,72.9,.203,TargetCenter,643684
