Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,OklahomaCityThunder,26.0,64,18,9.21,-0.06,9.15,112.4,102.6,93.3,.338,.244,.580,.527,14.4,26.7,.280,.469,13.5,73.4,.197,ChesapeakeEnergyArena,746323
2,MiamiHeat,30.3,62,20,7.87,-0.84,7.03,112.3,103.7,90.7,.297,.285,.588,.552,13.7,22.2,.224,.487,14.8,73.0,.200,AmericanAirlinesArena,819290
3,SanAntonioSpurs,28.6,58,24,6.40,0.27,6.67,108.3,101.6,94.2,.258,.264,.568,.531,14.0,20.5,.204,.480,13.7,74.9,.179,AT&TCenter,755700
4,LosAngelesClippers,28.8,59,23,6.45,-0.02,6.43,110.6,103.6,91.1,.286,.265,.557,.526,13.9,28.8,.203,.492,15.4,73.5,.229,STAPLESCenter,788293
5,DenverNuggets,26.1,55,27,5.09,0.28,5.37,110.4,105.1,95.1,.308,.217,.549,.515,13.6,31.4,.216,.493,14.3,71.8,.193,PepsiCenter,730616
6,MemphisGrizzlies,27.0,54,28,4.15,0.18,4.32,104.9,100.3,88.4,.261,.166,.514,.472,13.3,31.0,.202,.475,15.2,74.3,.209,FedExForum,681613
7,NewYorkKnicks,30.2,53,29,4.23,-0.50,3.73,111.1,106.3,89.8,.258,.354,.550,.515,11.7,25.6,.196,.508,14.8,74.7,.216,MadisonSquareGarden(IV),780353
8,HoustonRockets,24.4,50,32,3.48,0.22,3.69,109.7,106.1,96.1,.308,.349,.564,.525,14.9,26.4,.232,.502,13.5,75.2,.196,ToyotaCenter,683564
9,IndianaPacers,25.7,52,29,4.02,-0.69,3.34,104.3,99.8,90.2,.293,.245,.521,.479,14.3,30.3,.219,.453,12.9,74.6,.197,BankersLifeFieldhouse,626069
10,LosAngelesLakers,30.7,44,38,1.16,0.32,1.48,107.8,106.6,94.4,.345,.303,.548,.512,13.9,27.0,.239,.496,11.9,74.3,.163,STAPLESCenter,778877
11,GoldenStateWarriors,25.3,44,38,0.89,0.42,1.32,106.4,105.5,94.5,.255,.239,.545,.506,14.0,25.4,.201,.486,12.4,75.5,.211,OracleArena,794320
12,BrooklynNets,28.6,46,36,1.78,-0.53,1.25,108.2,106.2,88.8,.299,.269,.536,.498,14.0,30.9,.219,.503,13.1,73.7,.174,BarclaysCenter,704702
13,UtahJazz,26.3,41,41,-0.09,0.38,0.30,106.7,106.8,90.9,.281,.206,.533,.492,13.8,28.8,.214,.501,14.0,73.2,.226,EnergySolutionsArena,763915
14,ChicagoBulls,28.0,42,40,0.32,-0.33,-0.02,103.5,103.2,89.3,.259,.189,.512,.470,13.6,29.4,.201,.477,13.2,73.6,.206,UnitedCenter,896944
15,AtlantaHawks,27.1,42,40,0.40,-0.48,-0.08,104.8,104.4,92.6,.244,.286,.546,.517,14.2,22.2,.174,.496,14.2,73.6,.181,PhilipsArena,620146
16,DallasMavericks,29.5,39,43,-0.60,0.36,-0.24,105.9,106.5,94.1,.242,.236,.544,.506,13.0,21.8,.192,.492,13.3,73.1,.227,AmericanAirlinesCenter,821490
17,BostonCeltics,29.1,40,41,-0.22,-0.40,-0.62,103.1,103.3,91.7,.263,.215,.542,.503,14.1,20.1,.204,.482,14.2,73.3,.216,TDGarden,744960
18,MilwaukeeBucks,26.4,37,45,-1.50,-0.33,-1.83,103.6,105.2,94.7,.236,.232,.510,.476,12.7,27.9,.174,.492,14.4,71.3,.201,BMOHarrisBradleyCenter,616469
19,MinnesotaTimberwolves,26.4,34,48,-2.37,0.54,-1.83,102.9,105.4,92.8,.305,.220,.516,.473,13.8,27.4,.226,.511,15.0,74.0,.187,TargetCenter,669956
20,TorontoRaptors,25.4,37,45,-1.48,-0.48,-1.96,105.9,107.5,90.4,.274,.249,.532,.488,13.0,25.5,.216,.500,13.6,73.4,.247,AirCanadaCentre,743936
21,PortlandTrailBlazers,24.4,32,50,-3.17,0.65,-2.53,105.8,109.2,91.4,.250,.284,.536,.498,13.9,25.3,.194,.512,12.5,73.3,.189,RoseGardenArena,813012
22,WashingtonWizards,25.4,33,49,-2.54,-0.25,-2.78,100.2,103.0,92.2,.261,.223,.512,.475,14.2,24.6,.191,.483,13.7,74.6,.206,VerizonCenter,670070
23,NewOrleansHornets,24.0,30,52,-3.87,0.75,-3.12,105.7,110.1,88.5,.248,.224,.528,.489,14.0,29.2,.193,.520,13.1,74.4,.208,NewOrleansArena,565930
24,Philadelphia76ers,25.2,31,51,-3.34,-0.17,-3.51,102.0,105.7,91.0,.200,.209,.509,.481,12.5,24.9,.146,.495,13.7,73.4,.200,WellsFargoCenter,685412
25,SacramentoKings,25.6,28,54,-4.88,0.62,-4.26,106.2,111.4,93.6,.271,.243,.532,.491,13.4,26.6,.208,.517,13.6,71.0,.227,SleepTrainArena,563743
26,DetroitPistons,25.3,29,53,-3.99,-0.34,-4.33,103.8,108.1,90.8,.282,.217,.521,.487,14.3,28.3,.197,.505,13.1,73.0,.209,ThePalaceofAuburnHills,606094
27,ClevelandCavaliers,24.1,28,54,-4.68,-0.19,-4.87,104.3,109.4,92.3,.265,.229,.514,.473,13.0,28.1,.200,.523,14.4,72.6,.225,QuickenLoansArena,663882
28,PhoenixSuns,26.9,23,59,-6.46,0.71,-5.75,101.2,108.1,93.4,.234,.210,.512,.477,14.3,27.0,.174,.512,14.2,71.9,.208,USAirwaysCenter,632913
29,OrlandoMagic,24.6,22,60,-6.99,-0.14,-7.12,101.6,109.1,92.2,.197,.223,.514,.485,13.7,25.4,.149,.508,11.8,74.6,.195,AmwayCenter,722716
30,CharlotteBobcats,24.4,17,65,-9.23,-0.06,-9.29,101.5,111.5,91.5,.310,.210,.507,.460,13.2,25.7,.233,.524,13.2,71.1,.197,TimeWarnerCableArena,628293

