Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,ChicagoBulls,27.1,51,15,8.18,-0.76,7.43,107.4,98.3,89.1,.255,.205,.523,.490,13.2,32.6,.184,.450,12.8,74.3,.175,UnitedCenter,731326
2,SanAntonioSpurs,27.5,48,18,7.17,0.11,7.28,110.9,103.2,92.9,.261,.257,.562,.528,12.8,25.1,.195,.489,12.9,76.0,.168,AT&TCenter,607095
3,OklahomaCityThunder,25.1,46,20,6.12,0.32,6.44,109.8,103.2,93.0,.334,.252,.567,.516,15.3,27.8,.269,.465,13.0,72.1,.207,ChesapeakeEnergyArena,600699
4,MiamiHeat,28.3,47,19,5.98,-0.27,5.72,106.6,100.2,91.2,.307,.198,.549,.505,14.5,26.6,.238,.479,15.8,73.9,.200,AmericanAirlinesArena,657855
5,Philadelphia76ers,24.9,43,23,4.24,-0.65,3.59,103.9,99.2,89.7,.217,.175,.511,.480,10.9,24.4,.161,.460,13.5,75.2,.192,WellsFargoCenter,577597
6,DenverNuggets,26.6,39,27,2.88,0.29,3.16,109.2,106.2,94.2,.326,.243,.556,.516,14.1,27.7,.239,.508,14.3,74.3,.185,PepsiCenter,561966
7,LosAngelesClippers,27.3,39,27,2.56,0.26,2.82,108.5,105.7,89.2,.287,.269,.533,.502,12.7,29.5,.195,.492,14.2,73.2,.245,STAPLESCenter,634237
8,AtlantaHawks,27.9,41,25,3.44,-0.77,2.67,104.9,101.2,90.2,.259,.249,.535,.500,13.4,23.9,.192,.480,14.4,74.4,.186,PhilipsArena,501593
9,IndianaPacers,26.3,41,25,3.30,-0.71,2.60,106.7,103.1,90.7,.321,.198,.526,.474,13.1,29.2,.251,.476,14.1,72.3,.222,BankersLifeFieldhouse,467561
10,MemphisGrizzlies,25.6,38,28,2.02,0.42,2.43,104.0,101.8,90.8,.277,.157,.515,.473,13.6,29.8,.211,.485,16.3,72.7,.227,FedExForum,518446
