KNN & Tama\~no & HitRate & RecallMINIMO & RecallPROMEDIO & PresitionMINIMO & PresitionPROMEDIO \\
1 & 5000 & 0.942000 & 0.856530 & 0.940793 & 0.859931 & 0.941815 \\
1 & 10000 & 0.958700 & 0.910902 & 0.958531 & 0.907094 & 0.958774 \\
1 & 30000 & 0.969367 & 0.941618 & 0.968784 & 0.935616 & 0.969297 \\
3 & 5000 & 0.910600 & 0.763369 & 0.909327 & 0.708244 & 0.919466 \\
3 & 10000 & 0.930200 & 0.825054 & 0.929570 & 0.768452 & 0.935958 \\
3 & 30000 & 0.953933 & 0.896581 & 0.953455 & 0.854112 & 0.955884 \\
5 & 5000 & 0.870000 & 0.651086 & 0.867921 & 0.602756 & 0.892390 \\
5 & 10000 & 0.898000 & 0.723926 & 0.897323 & 0.679806 & 0.912642 \\
5 & 30000 & 0.935033 & 0.852194 & 0.934422 & 0.789478 & 0.940106 \\
