KNN & Tama\~no & HitRate & RecallMINIMO & RecallPROMEDIO & PresitionMINIMO & PresitionPROMEDIO \\
1 & 5000 & 0.938800 & 0.856395 & 0.937041 & 0.863020 & 0.937822 \\
1 & 10000 & 0.954500 & 0.911166 & 0.954027 & 0.902437 & 0.954456 \\
1 & 30000 & 0.968733 & 0.934932 & 0.968380 & 0.936118 & 0.968672 \\
3 & 5000 & 0.905200 & 0.774312 & 0.903537 & 0.698950 & 0.915061 \\
3 & 10000 & 0.928400 & 0.825681 & 0.927801 & 0.772203 & 0.934283 \\
3 & 30000 & 0.952733 & 0.892469 & 0.952534 & 0.844658 & 0.954861 \\
5 & 5000 & 0.861800 & 0.656536 & 0.859417 & 0.591247 & 0.886227 \\
5 & 10000 & 0.896200 & 0.739123 & 0.895152 & 0.678514 & 0.911207 \\
5 & 30000 & 0.930500 & 0.838637 & 0.930213 & 0.769933 & 0.936756 \\
