Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,SanAntonioSpurs,30.1,39,11,8.06,-0.94,7.12,104.0,95.0,88.6,.371,.137,.523,.479,14.6,30.4,.259,.423,13.8,69.5,.198,Alamodome,527357
2,PortlandTrailBlazers,27.4,36,14,6.36,-0.69,5.67,104.8,97.7,89.2,.341,.171,.521,.473,14.5,31.8,.253,.445,14.9,71.8,.233,RoseGardenArena,486556
3,UtahJazz,30.3,37,13,6.52,-0.99,5.54,105.8,98.4,87.0,.417,.107,.545,.485,16.0,30.0,.320,.441,14.4,70.4,.242,DeltaCenter,493120
4,MiamiHeat,30.3,35,15,4.96,0.15,5.11,104.7,98.9,84.8,.354,.226,.540,.494,15.3,27.3,.260,.439,13.6,71.0,.226,MiamiArena,378813
5,DetroitPistons,27.7,32,18,3.42,0.55,3.97,104.2,100.3,86.3,.345,.183,.528,.480,15.6,30.5,.256,.468,15.4,72.0,.259,ThePalaceofAuburnHills,444585
6,IndianaPacers,30.8,32,18,3.74,0.12,3.86,108.7,104.4,86.4,.318,.207,.537,.486,12.8,28.7,.253,.460,12.7,69.9,.236,MarketSquareArena,404536
7,OrlandoMagic,28.7,30,20,2.60,0.51,3.11,100.3,97.4,88.8,.318,.171,.498,.456,15.4,32.6,.222,.473,16.7,70.8,.181,OrlandoArena,411091
8,AtlantaHawks,29.6,31,19,2.90,-0.08,2.82,100.5,97.1,85.3,.378,.171,.492,.436,14.5,33.1,.277,.437,13.4,72.1,.202,GeorgiaDome,331831
9,LosAngelesLakers,27.5,30,20,3.02,-0.35,2.68,107.6,104.3,91.6,.382,.174,.538,.498,14.1,30.6,.261,.468,13.3,70.2,.267,GreatWesternForum,430007
10,Philadelphia76ers,26.0,29,21,2.06,0.50,2.56,99.9,97.6,88.6,.383,.096,.494,.439,15.3,34.2,.276,.454,17.1,69.8,.249,FirstUnionCenter,436444
11,PhoenixSuns,29.3,29,21,2.26,-0.11,2.15,105.8,103.3,90.0,.303,.175,.526,.481,13.0,28.4,.231,.485,15.4,69.8,.216,AmericaWestArena,472283
12,MilwaukeeBucks,28.3,28,22,1.66,0.00,1.66,104.9,103.0,87.0,.303,.162,.530,.489,14.3,29.0,.222,.463,16.0,67.6,.275,BradleyCenter,381948
13,NewYorkKnicks,29.0,27,23,1.02,0.43,1.45,98.6,97.5,86.9,.329,.159,.509,.463,15.9,27.9,.241,.434,14.9,71.0,.258,MadisonSquareGarden(IV),494075
14,HoustonRockets,29.6,29,21,2.32,-0.93,1.39,105.4,102.9,88.8,.313,.241,.545,.506,15.8,27.8,.228,.461,12.4,69.9,.188,CompaqCenter,407125
