Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,SanAntonioSpurs,29.8,61,21,6.82,-0.13,6.69,107.3,99.6,88.5,.298,.215,.546,.513,13.6,26.0,.209,.457,13.5,74.2,.220,SBCCenter,770677
2,DetroitPistons,28.5,60,22,6.67,-0.44,6.24,110.8,103.1,86.8,.297,.221,.535,.497,11.2,28.9,.216,.477,13.7,71.2,.191,ThePalaceofAuburnHills,905116
3,DallasMavericks,27.5,58,24,6.07,-0.11,5.96,111.8,105.0,87.8,.364,.175,.550,.495,13.1,31.8,.285,.475,13.7,72.2,.257,AmericanAirlinesCenter,824693
4,PhoenixSuns,27.5,55,27,5.55,-0.07,5.48,111.5,105.8,95.8,.206,.293,.568,.537,12.2,22.1,.166,.490,13.2,72.1,.200,AmericaWestArena,730179
5,MemphisGrizzlies,28.1,52,30,3.70,0.05,3.74,105.9,101.6,86.3,.339,.258,.537,.496,13.9,25.8,.241,.469,14.7,72.0,.237,FedExForum,647533
6,MiamiHeat,29.2,52,30,3.87,-0.27,3.59,108.7,104.5,91.6,.363,.227,.556,.517,13.9,26.7,.254,.477,12.4,76.4,.251,AmericanAirlinesArena,818149
7,LosAngelesLakers,25.1,48,34,2.50,0.03,2.53,108.4,105.7,90.9,.329,.240,.539,.495,13.1,28.8,.245,.486,13.4,73.6,.242,STAPLESCenter,774189
8,ClevelandCavaliers,27.1,48,34,2.23,-0.06,2.17,107.8,105.4,89.8,.362,.228,.538,.492,13.3,28.4,.263,.490,12.8,75.7,.226,GundArena,792391
9,LosAngelesClippers,26.8,46,36,1.57,0.18,1.75,105.3,103.6,91.7,.332,.131,.540,.487,13.8,25.4,.263,.471,12.2,75.9,.240,STAPLESCenter,712409
10,IndianaPacers,27.3,47,35,1.89,-0.27,1.62,104.5,102.4,89.7,.344,.245,.533,.487,14.8,27.1,.254,.464,13.0,72.6,.232,ConsecoFieldhouse,663368
11,SacramentoKings,27.2,45,37,1.54,0.07,1.61,106.7,105.0,91.9,.334,.217,.544,.492,13.9,25.4,.262,.488,13.7,72.2,.210,ARCOArena(II),709997
12,WashingtonWizards,26.5,46,36,1.85,-0.29,1.57,109.3,107.3,92.3,.375,.209,.538,.484,12.8,29.5,.284,.504,15.1,70.9,.256,MCICenter,705062
13,NewJerseyNets,28.6,45,37,1.37,-0.26,1.11,103.9,102.4,89.8,.346,.229,.528,.478,13.3,24.0,.262,.476,14.0,76.3,.266,ContinentalAirlinesArena,691543
14,ChicagoBulls,24.1,43,39,0.63,-0.12,0.51,104.0,103.4,92.9,.292,.219,.527,.487,13.9,26.3,.216,.464,13.9,74.7,.295,UnitedCenter,868720
15,DenverNuggets,27.4,42,40,0.23,0.13,0.36,105.5,105.2,93.9,.347,.161,.535,.488,13.7,26.8,.258,.493,14.7,72.0,.227,PepsiCenter,702555
