Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
16,MilwaukeeBucks,25.5,38,44,-1.04,-0.04,-1.07,106.3,107.4,91.2,.322,.203,.535,.492,13.8,27.3,.238,.504,13.8,74.6,.262,BradleyCenter,681337
17,GoldenStateWarriors,25.6,37,45,-1.35,0.25,-1.11,104.8,106.2,93.3,.323,.270,.521,.479,13.0,26.9,.232,.492,14.1,71.6,.243,OaklandArena,749185
18,OrlandoMagic,25.5,38,44,-1.07,-0.18,-1.26,106.3,107.5,88.3,.369,.129,.543,.496,14.7,28.5,.270,.490,13.0,72.5,.264,TDWaterhouseCentre,638005
19,HoustonRockets,28.8,36,46,-1.59,0.28,-1.30,101.6,103.3,88.0,.317,.226,.519,.471,14.3,25.5,.240,.472,13.1,74.6,.247,ToyotaCenter,636110
20,BostonCeltics,25.3,37,45,-1.54,-0.05,-1.59,105.2,106.9,92.2,.349,.204,.551,.504,15.7,25.5,.263,.490,13.8,72.8,.282,TDBanknorthGarden,692873
21,MinnesotaTimberwolves,26.7,35,47,-1.88,0.13,-1.75,102.4,104.5,88.8,.299,.149,.524,.480,14.2,25.2,.226,.475,13.4,71.3,.236,TargetCenter,662167
22,Philadelphia76ers,26.5,35,47,-1.95,-0.15,-2.10,106.0,108.1,92.7,.356,.158,.538,.487,13.3,25.6,.270,.500,14.3,71.3,.240,WachoviaCenter,677278
23,UtahJazz,25.6,33,49,-2.63,0.14,-2.49,104.1,107.0,87.8,.397,.149,.519,.467,15.0,32.4,.286,.490,14.0,73.2,.303,DeltaCenter,751621
24,NewOrleans/OklahomaCityHornets,26.3,33,49,-2.82,0.31,-2.51,103.7,106.8,89.0,.339,.138,.515,.464,12.9,26.9,.257,.502,14.3,73.4,.243,FordCenter,744920
25,SeattleSuperSonics,25.6,33,49,-3.02,0.15,-2.88,111.1,114.4,91.6,.314,.243,.551,.504,13.7,30.4,.246,.527,13.6,69.0,.260,KeyArenaatSeattleCenter,664157
26,TorontoRaptors,25.9,33,49,-2.99,-0.04,-3.03,109.5,112.7,91.1,.315,.244,.548,.500,12.4,25.4,.249,.530,13.5,73.3,.263,AirCanadaCentre,699332
27,CharlotteBobcats,25.2,30,52,-4.00,0.10,-3.90,102.5,106.7,93.4,.319,.184,.509,.464,13.0,27.1,.233,.514,16.5,70.7,.263,CharlotteBobcatsArena,671011
28,AtlantaHawks,22.7,28,54,-4.76,0.07,-4.69,106.4,111.6,90.4,.340,.178,.534,.486,14.7,31.4,.255,.513,14.1,69.5,.275,PhilipsArena,617817
29,NewYorkKnicks,25.6,24,58,-6.40,0.11,-6.30,104.0,111.0,90.8,.417,.142,.534,.481,16.5,31.2,.303,.511,13.4,72.8,.294,MadisonSquareGarden(IV),776176
30,PortlandTrailBlazers,24.6,16,66,-9.45,0.54,-8.91,101.1,111.9,87.6,.310,.166,.511,.474,14.5,26.6,.214,.507,12.6,68.2,.231,RoseGardenArena,617019
