Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,New York Knicks*,82,19755,2783,6451,.431,253,825,.307,2530,5626,.450,1684,2341,.719,1016,2245,3261,1677,677,333,1420,1897,7503,91.5
2,San Antonio Spurs*,82,19780,3066,6880,.446,290,871,.333,2776,6009,.462,1349,1875,.719,1089,2153,3242,1769,632,346,1020,1791,7771,94.8
3,Chicago Bulls*,82,19780,3029,6542,.463,252,780,.323,2777,5762,.482,1470,1987,.740,985,2240,3225,1840,730,374,1335,1725,7780,94.9
4,Atlanta Hawks*,82,19755,3163,6954,.455,275,872,.315,2888,6082,.475,1285,1732,.742,1157,2358,3515,1897,641,338,1465,1722,7886,96.2
5,Houston Rockets*,82,19780,3152,7166,.440,257,841,.306,2895,6325,.458,1377,1871,.736,1138,2434,3572,1901,767,312,1221,1743,7938,96.8
6,Seattle SuperSonics*,82,19730,2928,6459,.453,326,946,.345,2602,5513,.472,1760,2374,.741,1084,2191,3275,1808,686,421,1666,1884,7942,96.9
7,Cleveland Cavaliers*,82,19855,3131,6741,.464,258,729,.354,2873,6012,.478,1446,1967,.735,1059,2335,3394,2006,628,461,1293,1797,7966,97.1
8,Indiana Pacers*,82,19755,2978,6614,.450,273,815,.335,2705,5799,.466,1768,2422,.730,1132,2153,3285,1902,826,389,1340,1986,7997,97.5
9,Utah Jazz*,82,19830,2973,6641,.448,289,967,.299,2684,5674,.473,1773,2444,.725,1100,2327,3427,1806,593,459,1318,1922,8008,97.7
10,Denver Nuggets*,82,19755,3065,7000,.438,208,717,.290,2857,6283,.455,1761,2349,.750,1118,2331,3449,1745,725,502,1245,1957,8099,98.8
11,Miami Heat*,82,19805,3036,6641,.457,295,892,.331,2741,5749,.477,1889,2527,.748,1074,2266,3340,1821,689,438,1314,1946,8256,100.7
12,New Jersey Nets*,82,19830,3266,7125,.458,235,739,.318,3031,6386,.475,1514,2038,.743,1142,2528,3670,1919,715,582,1248,1901,8281,101.0
13,Orlando Magic*,82,19730,3263,7125,.458,296,847,.349,2967,6278,.473,1525,2047,.745,1197,2305,3502,2103,756,442,1228,1844,8347,101.8
14,Milwaukee Bucks,82,19705,3255,6625,.491,286,789,.362,2969,5836,.509,1684,2284,.737,1086,2495,3581,2092,768,420,1416,1777,8480,103.4
15,Phoenix Suns*,82,19705,3379,7135,.474,283,863,.328,3096,6272,.494,1438,1998,.720,1086,2247,3333,2154,748,437,1254,1870,8479,103.4
16,Minnesota Timberwolves,82,19730,3244,6874,.472,227,738,.308,3017,6136,.492,1783,2451,.727,1102,2296,3398,2108,824,549,1164,1855,8498,103.6
17,Dallas Mavericks,82,19730,3212,6508,.494,249,688,.362,2963,5820,.509,1841,2498,.737,1101,2503,3604,1970,782,507,1428,1649,8514,103.8
18,Portland Trail Blazers*,82,19755,3311,7057,.469,296,830,.357,3015,6227,.484,1661,2216,.750,1016,2481,3497,2094,654,393,1391,1944,8579,104.6
19,Los Angeles Lakers,82,19755,3337,7008,.476,228,723,.315,3109,6285,.495,1683,2346,.717,1284,2533,3817,2163,664,427,1344,1659,8585,104.7
20,Detroit Pistons,82,19730,3255,6878,.473,272,814,.334,2983,6064,.492,1805,2451,.736,1191,2590,3781,2097,721,368,1169,1602,8587,104.7
21,Boston Celtics,82,19905,3357,7034,.477,231,665,.347,3126,6369,.491,1673,2218,.754,1131,2508,3639,2089,690,414,1273,1738,8618,105.1
22,Philadelphia 76ers,82,19805,3549,7338,.484,263,795,.331,3286,6543,.502,1297,1744,.744,1202,2607,3809,2357,806,385,1190,1729,8658,105.6
23,Golden State Warriors*,82,19780,3428,7332,.468,305,869,.351,3123,6463,.483,1540,2108,.731,1324,2408,3732,2184,842,408,1426,1870,8701,106.1
24,Charlotte Hornets,82,19830,3463,7359,.471,317,916,.346,3146,6443,.488,1507,2036,.740,1217,2467,3684,2116,629,430,1260,1761,8750,106.7
25,Sacramento Kings,82,19755,3360,7017,.479,277,771,.359,3083,6246,.494,1767,2448,.722,1189,2574,3763,2052,746,498,1341,1895,8764,106.9
26,Washington Bullets,82,19705,3569,7026,.508,252,723,.349,3317,6303,.526,1444,1996,.723,1119,2362,3481,2113,815,470,1291,1823,8834,107.7
27,Los Angeles Clippers,82,19780,3512,7421,.473,308,882,.349,3204,6539,.490,1584,2209,.717,1348,2568,3916,2220,898,476,1364,1788,8916,108.7
