Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,San Antonio Spurs*,82,19755,2613,6388,.409,311,951,.327,2302,5437,.423,1372,1844,.744,909,2459,3368,1419,635,380,1254,1837,6909,84.3
2,Detroit Pistons*,82,19780,2633,6378,.413,356,1180,.302,2277,5198,.438,1287,1730,.744,980,2353,3333,1561,649,410,1310,1877,6909,84.3
3,Indiana Pacers*,82,19805,2671,6180,.432,329,1014,.324,2342,5166,.453,1350,1800,.750,867,2423,3290,1649,582,512,1301,1794,7021,85.6
4,New Jersey Nets*,82,19705,2693,6302,.427,418,1193,.350,2275,5109,.445,1392,1830,.761,873,2471,3344,1627,656,374,1321,1739,7196,87.8
5,Houston Rockets*,82,19930,2636,6405,.412,457,1227,.372,2179,5178,.421,1491,2024,.737,907,2351,3258,1689,710,359,1103,1695,7220,88.0
6,Toronto Raptors,82,19980,2722,6365,.428,273,889,.307,2449,5476,.447,1536,2055,.747,1034,2662,3696,1518,590,333,1196,1619,7253,88.5
7,Minnesota Timberwolves*,82,19755,2741,6625,.414,395,1181,.334,2346,5444,.431,1426,1893,.753,1001,2400,3401,1701,547,296,1106,1656,7303,89.1
8,Miami Heat*,82,19755,2658,6205,.428,431,1256,.343,2227,4949,.450,1612,2100,.768,892,2486,3378,1526,578,439,1207,1729,7359,89.7
9,Utah Jazz,82,19780,2541,5879,.432,415,1209,.343,2126,4670,.455,1874,2431,.771,868,2131,2999,1528,666,530,1262,1999,7371,89.9
10,Philadelphia 76ers,82,19855,2751,6369,.432,443,1329,.333,2308,5040,.458,1474,1982,.744,996,2398,3394,1747,678,463,1245,1757,7419,90.5
11,New Orleans Hornets*,82,19830,2843,6443,.441,444,1301,.341,2399,5142,.467,1407,1877,.750,972,2477,3449,1790,613,429,1282,1734,7537,91.9
12,Portland Trail Blazers,82,19980,2954,6567,.450,417,1222,.341,2537,5345,.475,1219,1618,.753,1016,2292,3308,1912,657,390,1120,1534,7544,92.0
13,New York Knicks*,82,19880,2785,6491,.429,415,1228,.338,2370,5263,.450,1678,2198,.763,950,2444,3394,1676,675,383,1132,1600,7663,93.5
14,Golden State Warriors,82,19855,2948,6630,.445,414,1107,.374,2534,5523,.459,1399,1875,.746,981,2532,3513,1762,666,418,1145,1801,7709,94.0
15,Los Angeles Lakers*,82,19855,2920,6640,.440,420,1247,.337,2500,5393,.464,1472,1964,.749,922,2558,3480,1708,616,308,1254,2024,7732,94.3
16,Memphis Grizzlies*,82,19880,2859,6550,.436,369,1091,.338,2490,5459,.456,1643,2150,.764,1099,2508,3607,1674,673,461,1395,1891,7730,94.3
17,Cleveland Cavaliers,82,19855,2956,6759,.437,431,1162,.371,2525,5597,.451,1491,1990,.749,971,2475,3446,1783,635,434,1071,1656,7834,95.5
18,Chicago Bulls,82,19830,2882,6611,.436,439,1235,.355,2443,5376,.454,1673,2238,.748,1011,2682,3693,1890,694,446,1250,1684,7876,96.0
19,Denver Nuggets*,82,19730,3019,6662,.453,376,1056,.356,2643,5606,.471,1470,2020,.728,1056,2465,3521,1931,664,479,1399,1895,7884,96.1
20,Boston Celtics*,82,19705,2894,6626,.437,555,1534,.362,2339,5092,.459,1587,2157,.736,1069,2524,3593,1882,719,408,1406,1819,7930,96.7
21,Milwaukee Bucks*,82,19780,3034,6719,.452,456,1296,.352,2578,5423,.475,1428,1932,.739,983,2521,3504,1870,615,406,1164,1878,7952,97.0
22,Washington Wizards,82,19830,3061,6740,.454,424,1238,.342,2637,5502,.479,1444,1874,.771,1048,2520,3568,1966,786,448,1321,1783,7990,97.4
23,Atlanta Hawks,82,19905,2968,6740,.440,482,1345,.358,2486,5395,.461,1574,2072,.760,1048,2485,3533,1803,731,416,1151,1699,7992,97.5
24,Sacramento Kings*,82,19780,3140,6920,.454,409,1205,.339,2731,5715,.478,1333,1780,.749,1080,2521,3601,1743,651,413,1225,1817,8022,97.8
25,Seattle SuperSonics,82,19805,2980,6622,.450,486,1394,.349,2494,5228,.477,1570,2028,.774,1068,2430,3498,1728,629,387,1211,1658,8016,97.8
26,Phoenix Suns,82,19730,2975,6671,.446,479,1374,.349,2496,5297,.471,1601,2092,.765,1038,2550,3588,1760,649,431,1304,1589,8030,97.9
27,Los Angeles Clippers,82,19805,3075,6687,.460,452,1256,.360,2623,5431,.483,1545,2086,.741,1033,2358,3391,1874,693,437,1122,1861,8147,99.4
28,Dallas Mavericks*,82,19805,3133,6824,.459,534,1471,.363,2599,5353,.486,1462,1960,.746,1009,2562,3571,1937,582,382,1242,1690,8262,100.8
29,Orlando Magic,82,19830,3169,6804,.466,491,1301,.377,2678,5503,.487,1458,1964,.742,1072,2570,3642,2004,625,450,1111,1691,8287,101.1
