Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,Detroit Pistons*,82,19805,3053,6743,.453,157,504,.312,2896,6239,.464,1674,2173,.770,1002,2274,3276,1736,581,289,1127,1987,7937,96.8
2,Los Angeles Lakers*,82,19830,3354,7262,.462,178,573,.311,3176,6689,.475,1278,1700,.752,1131,2187,3318,1998,668,334,1175,1823,8164,99.6
3,Utah Jazz*,82,19780,3217,7011,.459,205,667,.307,3012,6344,.475,1615,2090,.773,1101,2278,3379,1858,686,409,1254,1995,8254,100.7
4,Chicago Bulls*,82,19755,3267,6884,.475,190,626,.304,3077,6258,.492,1554,2017,.770,1062,2162,3224,2016,633,348,1402,1826,8278,101.0
5,San Antonio Spurs*,82,19830,3265,7289,.448,218,704,.310,3047,6585,.463,1664,2187,.761,1122,2270,3392,1928,801,437,1260,2008,8412,102.6
6,Houston Rockets*,82,19855,3337,7316,.456,183,621,.295,3154,6695,.471,1609,2086,.771,1242,2431,3673,1965,711,357,1415,1786,8466,103.2
7,New York Knicks*,82,19955,3410,7162,.476,183,545,.336,3227,6617,.488,1471,1903,.773,1119,2336,3455,1999,724,368,1239,1813,8474,103.3
8,Minnesota Timberwolves,82,19905,3320,6778,.490,171,505,.339,3149,6273,.502,1680,2219,.757,1094,2379,3473,2142,512,511,1238,1692,8491,103.5
9,Sacramento Kings,82,19705,3142,6687,.470,155,491,.316,2987,6196,.482,2045,2686,.761,1164,2543,3707,1912,699,448,1312,1847,8484,103.5
10,Milwaukee Bucks*,82,19855,3290,6775,.486,189,574,.329,3101,6201,.500,1755,2312,.759,1108,2315,3423,2023,704,461,1531,1912,8524,104.0
11,Cleveland Cavaliers,82,19830,3459,7117,.486,163,505,.323,3296,6612,.498,1464,1916,.764,1097,2398,3495,2150,710,394,1226,1895,8545,104.2
12,Dallas Mavericks,82,19805,3346,6945,.482,178,583,.305,3168,6362,.498,1700,2296,.740,1116,2489,3605,2025,650,400,1147,1778,8570,104.5
13,Seattle SuperSonics*,82,19880,3285,6738,.488,207,633,.327,3078,6105,.504,1866,2459,.759,1107,2149,3256,1851,729,446,1485,1820,8643,105.4
14,Philadelphia 76ers*,82,20080,3536,7432,.476,196,660,.297,3340,6772,.493,1388,1794,.774,1156,2519,3675,2220,691,391,1177,1862,8656,105.6
15,Boston Celtics*,82,19805,3419,7559,.452,191,611,.313,3228,6948,.465,1639,2084,.786,1192,2204,3396,2052,738,381,1127,1660,8668,105.7
16,Portland Trail Blazers*,82,19905,3320,7275,.456,236,730,.323,3084,6545,.471,1819,2341,.777,1079,2354,3433,2048,630,352,1397,2075,8695,106.0
17,Washington Bullets,82,19855,3396,7280,.466,166,555,.299,3230,6725,.480,1763,2288,.771,1232,2473,3705,1861,727,492,1254,1778,8721,106.4
18,Los Angeles Clippers,82,19805,3337,7151,.467,199,593,.336,3138,6558,.478,1901,2529,.752,1115,2494,3609,1982,773,491,1316,1887,8774,107.0
19,New Jersey Nets,82,19830,3374,7206,.468,136,442,.308,3238,6764,.479,1927,2493,.773,1287,2527,3814,1737,831,540,1452,1896,8811,107.5
20,Phoenix Suns*,82,19730,3462,7499,.462,182,584,.312,3280,6915,.474,1705,2244,.760,1195,2298,3493,1972,682,463,1282,2059,8811,107.5
21,Miami Heat,82,19780,3335,6974,.478,173,514,.337,3162,6460,.489,1997,2603,.767,1176,2364,3540,2006,853,502,1466,1960,8840,107.8
22,Charlotte Hornets,82,19805,3408,6915,.493,158,500,.316,3250,6415,.507,1884,2441,.772,1151,2514,3665,2144,675,480,1406,1841,8858,108.0
23,Atlanta Hawks*,82,19755,3568,7219,.494,217,621,.349,3351,6598,.508,1587,2069,.767,1080,2499,3579,2320,688,361,1291,2034,8940,109.0
24,Orlando Magic,82,19780,3454,7232,.478,223,674,.331,3231,6558,.493,1879,2451,.767,1095,2500,3595,2118,706,654,1215,1983,9010,109.9
25,Indiana Pacers*,82,19805,3577,7299,.490,186,609,.305,3391,6690,.507,1851,2490,.743,1202,2313,3515,2063,729,353,1260,2037,9191,112.1
26,Golden State Warriors*,82,19805,3544,7349,.482,221,686,.322,3323,6663,.499,2121,2797,.758,1292,2480,3772,2164,726,437,1534,2206,9430,115.0
27,Denver Nuggets,82,19730,4076,7962,.512,194,502,.386,3882,7460,.520,2377,3068,.775,1242,3067,4309,2492,757,525,1527,1844,10723,130.8
