Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,New York Knicks*,82,19905,2568,6159,.417,445,1266,.352,2123,4893,.434,1478,2015,.733,872,2418,3290,1573,596,338,1216,1754,7059,86.1
2,Miami Heat*,82,19880,2701,6261,.431,360,1087,.331,2341,5174,.452,1339,1818,.737,914,2528,3442,1421,598,424,1275,1824,7101,86.6
3,San Antonio Spurs*,82,19830,2837,6770,.419,343,1043,.329,2494,5727,.435,1233,1664,.741,967,2432,3399,1617,600,426,1107,1946,7250,88.4
4,Charlotte Hornets*,82,19880,2767,6501,.426,389,1081,.360,2378,5420,.439,1444,1910,.756,892,2436,3328,1748,616,375,1204,1768,7367,89.8
5,Philadelphia 76ers*,82,19855,2871,6699,.429,427,1248,.342,2444,5451,.448,1243,1660,.749,985,2366,3351,1771,672,458,1261,1938,7412,90.4
6,Portland Trail Blazers*,82,19780,2819,6436,.438,406,1103,.368,2413,5333,.452,1436,1930,.744,946,2238,3184,1745,646,324,1216,1738,7480,91.2
7,Phoenix Suns*,82,19805,2792,6422,.435,327,937,.349,2465,5485,.449,1618,2127,.761,902,2588,3490,1652,682,416,1433,1819,7529,91.8
8,Utah Jazz*,82,19780,2667,6076,.439,410,1194,.343,2257,4882,.462,1830,2391,.765,874,2183,3057,1564,699,453,1320,2007,7574,92.4
9,Indiana Pacers*,82,19980,2829,6683,.423,377,1121,.336,2452,5562,.441,1572,2074,.758,1042,2495,3537,1695,589,387,1115,1882,7607,92.8
10,Houston Rockets,82,19830,3020,6733,.449,359,1015,.354,2661,5718,.465,1385,1862,.744,988,2420,3408,1735,605,400,1092,1771,7784,94.9
11,Los Angeles Clippers,82,20030,2995,6800,.440,354,1075,.329,2641,5725,.461,1474,1983,.743,1042,2439,3481,1791,638,412,1045,1795,7818,95.3
12,Toronto Raptors*,82,19955,3009,6725,.447,379,1045,.363,2630,5680,.463,1425,1890,.754,926,2511,3437,1696,561,439,1156,1792,7822,95.4
13,Sacramento Kings*,82,20080,3087,7139,.432,401,1131,.355,2686,6008,.447,1291,1724,.749,1121,2643,3764,1816,666,476,1334,1766,7866,95.9
14,Minnesota Timberwolves*,82,19830,2977,6588,.452,350,996,.351,2627,5592,.470,1567,2164,.724,967,2505,3472,1834,583,357,1246,1655,7871,96.0
15,Atlanta Hawks,82,19730,2922,6609,.442,396,1080,.367,2526,5529,.457,1646,2153,.765,1029,2534,3563,1737,698,513,1212,1696,7886,96.2
16,Dallas Mavericks*,82,19805,2938,6693,.439,381,1140,.334,2557,5553,.460,1631,2231,.731,1068,2623,3691,1778,622,379,1273,1848,7888,96.2
17,Orlando Magic*,82,19955,2830,6499,.435,366,1059,.346,2464,5440,.453,1885,2566,.735,1061,2609,3670,1793,695,440,1408,1946,7911,96.5
18,Cleveland Cavaliers,82,19830,2927,6582,.445,422,1155,.365,2505,5427,.462,1633,2125,.768,990,2400,3390,1880,694,542,1229,1810,7909,96.5
19,Chicago Bulls,82,19855,2987,6330,.472,346,973,.356,2641,5357,.493,1607,2202,.730,957,2551,3508,1932,635,426,1217,1754,7927,96.7
20,Boston Celtics,82,19830,2935,6392,.459,430,1170,.368,2505,5222,.480,1634,2178,.750,888,2650,3538,1885,650,440,1402,1903,7934,96.8
21,Milwaukee Bucks*,82,19780,2912,6626,.439,439,1246,.352,2473,5380,.460,1679,2186,.768,1014,2490,3504,1883,592,350,1273,1778,7942,96.9
22,New Jersey Nets,82,19730,2937,6452,.455,428,1189,.360,2509,5263,.477,1664,2231,.746,1001,2622,3623,1840,619,522,1304,1808,7966,97.1
23,Los Angeles Lakers*,82,19905,2983,6815,.438,413,1168,.354,2570,5647,.455,1595,2114,.754,981,2407,3388,1659,619,324,1073,2002,7974,97.2
24,Seattle SuperSonics,82,19805,3076,6783,.453,471,1351,.349,2605,5432,.480,1353,1824,.742,1046,2431,3477,1957,648,510,1228,1816,7976,97.3
25,Detroit Pistons,82,19855,2976,6850,.434,428,1229,.348,2548,5621,.453,1596,2169,.736,1012,2671,3683,1860,669,397,1274,2062,7976,97.3
26,Vancouver Grizzlies,82,19780,3143,6791,.463,389,1075,.362,2754,5716,.482,1317,1798,.732,1052,2534,3586,1935,710,476,1217,1768,7992,97.5
27,Denver Nuggets,82,19780,3081,6914,.446,416,1168,.356,2665,5746,.464,1542,2049,.753,1012,2642,3654,2042,588,497,1075,1758,8120,99.0
28,Washington Wizards,82,19680,3100,6596,.470,433,1093,.396,2667,5503,.485,1559,2088,.747,931,2410,3341,1902,688,511,1230,1974,8192,99.9
29,Golden State Warriors,82,19780,3179,6740,.472,439,1159,.379,2740,5581,.491,1529,2011,.760,1039,2693,3732,2045,722,493,1348,1765,8326,101.5
