
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,DenverNuggets,82,19730,3901,8868,.440,300,1059,.283,3601,7809,.461,1726,2263,.763,1520,2530,4050,2005,856,406,1332,2235,9828,119.9
2,GoldenStateWarriors,82,19805,3566,7346,.485,270,801,.337,3296,6545,.504,2162,2761,.783,1113,2306,3419,1954,803,378,1359,2207,9564,116.6
3,PortlandTrailBlazers,82,19905,3577,7369,.485,341,904,.377,3236,6465,.501,1912,2538,.753,1202,2561,3763,2254,724,410,1309,1975,9407,114.7
4,PhoenixSuns,82,19730,3573,7199,.496,138,432,.319,3435,6767,.508,2064,2680,.770,1132,2598,3730,2209,687,535,1302,1850,9348,114.0
5,IndianaPacers,82,19805,3450,6994,.493,249,749,.332,3201,6245,.513,2010,2479,.811,1018,2376,3394,2181,658,357,1355,2088,9159,111.7
6,BostonCeltics,82,19805,3695,7214,.512,109,346,.315,3586,6868,.522,1646,1997,.824,1088,2697,3785,2160,672,565,1320,1695,9145,111.5
7,ChicagoBulls,82,19755,3632,7125,.510,155,424,.366,3477,6701,.519,1605,2111,.760,1148,2342,3490,2212,822,438,1184,1751,9024,110.0
8,AtlantaHawks,82,19755,3349,7223,.464,271,836,.324,3078,6387,.482,2034,2544,.800,1235,2420,3655,1864,729,374,1231,1768,9003,109.8
9,SanAntonioSpurs,82,19830,3409,6988,.488,81,297,.273,3328,6691,.497,1883,2459,.766,1131,2657,3788,2140,670,571,1445,1896,8782,107.1
10,HoustonRockets,82,19855,3403,7287,.467,316,989,.320,3087,6298,.490,1631,2200,.741,1275,2508,3783,1906,796,409,1402,1874,8753,106.7
11,SeattleSuperSonics,82,19880,3500,7117,.492,136,427,.319,3364,6690,.503,1608,2143,.750,1222,2173,3395,2042,861,380,1404,1973,8744,106.6
12,MilwaukeeBucks,82,19855,3337,6948,.480,257,753,.341,3080,6195,.497,1796,2241,.801,1079,2162,3241,2075,894,330,1321,2033,8727,106.4
13,LosAngelesLakers,82,19830,3343,6911,.484,226,744,.304,3117,6167,.505,1805,2261,.798,1078,2440,3518,2091,642,384,1203,1524,8717,106.3
14,OrlandoMagic,82,19780,3298,7256,.455,270,754,.358,3028,6502,.466,1818,2447,.743,1233,2429,3662,1809,602,306,1391,1976,8684,105.9
15,Philadelphia76ers,82,20080,3289,6925,.475,195,618,.316,3094,6307,.491,1868,2366,.790,984,2496,3480,1824,678,479,1230,1629,8641,105.4
16,UtahJazz,82,19780,3214,6537,.492,148,458,.323,3066,6079,.504,1951,2472,.789,867,2474,3341,2217,652,451,1305,1796,8527,104.0
17,LosAngelesClippers,82,19805,3391,7315,.464,113,434,.260,3278,6881,.476,1596,2273,.702,1246,2500,3746,2119,725,507,1438,2043,8491,103.5
18,NewYorkKnicks,82,19955,3308,6822,.485,185,558,.332,3123,6264,.499,1654,2147,.770,1053,2436,3489,2172,638,418,1379,1764,8455,103.1
19,NewJerseyNets,82,19830,3311,7459,.444,161,586,.275,3150,6873,.458,1658,2245,.739,1400,2348,3748,1782,748,600,1423,1954,8441,102.9
20,CharlotteHornets,82,19805,3286,7033,.467,131,417,.314,3155,6616,.477,1725,2214,.779,1027,2200,3227,2019,759,304,1290,1946,8428,102.8
21,MiamiHeat,82,19780,3280,7139,.459,140,464,.302,3140,6675,.470,1649,2307,.715,1232,2302,3534,1904,756,387,1551,2080,8349,101.8
22,ClevelandCavaliers,82,19830,3259,6857,.475,160,479,.334,3099,6378,.486,1665,2176,.765,1011,2329,3340,2240,643,450,1281,1672,8343,101.7
23,WashingtonBullets,82,19855,3390,7268,.466,55,284,.194,3335,6984,.478,1478,2028,.729,1173,2390,3563,2081,588,468,1359,1927,8313,101.4
24,DetroitPistons,82,19805,3194,6875,.465,131,440,.298,3063,6435,.476,1686,2211,.763,1206,2452,3658,1825,487,367,1181,1869,8205,100.1
25,DallasMavericks,82,19805,3245,6890,.471,193,600,.322,3052,6290,.485,1512,1986,.761,984,2360,3344,1821,581,397,1186,1840,8195,99.9
26,MinnesotaTimberwolves,82,19905,3265,7276,.449,108,381,.283,3157,6895,.458,1531,2082,.735,1275,2113,3388,1885,712,440,1062,1864,8169,99.6
27,SacramentoKings,82,19705,3086,6818,.453,216,578,.374,2870,6240,.460,1540,2105,.732,1027,2218,3245,1991,631,513,1272,2075,7928,96.7
,LeagueAverage,82,19824,3391,7150,.474,187,586,.320,3204,6565,.488,1749,2287,.765,1147,2401,3547,2029,704,431,1315,1900,8717,106.3
