
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,ChicagoBulls,82,19730,3277,6923,.473,523,1403,.373,2754,5520,.499,1381,1848,.747,1235,2461,3696,2142,716,332,1109,1617,8458,103.1
2,UtahJazz,82,19830,3131,6217,.504,334,902,.370,2797,5315,.526,1858,2416,.769,889,2410,3299,2199,748,418,1259,1981,8454,103.1
3,PhoenixSuns,82,19855,3143,6705,.469,527,1428,.369,2616,5277,.496,1618,2125,.761,916,2376,3292,2067,664,322,1180,1727,8431,102.8
4,SeattleSuperSonics,82,19780,2995,6415,.467,559,1583,.353,2436,4832,.504,1725,2295,.752,1010,2271,3281,1931,904,388,1231,1803,8274,100.9
5,HoustonRockets,82,19855,3037,6484,.468,671,1839,.365,2366,4645,.509,1503,1992,.755,927,2565,3492,2013,685,347,1365,1610,8248,100.6
6,BostonCeltics,82,19905,3066,6967,.440,467,1331,.351,2599,5636,.461,1649,2199,.750,1095,2188,3283,1792,810,315,1342,1915,8248,100.6
7,Philadelphia76ers,82,19780,3003,6850,.438,433,1356,.319,2570,5494,.468,1776,2450,.725,1267,2355,3622,1695,683,394,1437,1733,8215,100.2
8,LosAngelesLakers,82,19930,3018,6642,.454,551,1500,.367,2467,5142,.480,1613,2330,.692,1092,2414,3506,1845,740,575,1222,1818,8200,100.0
9,GoldenStateWarriors,82,19905,2997,6567,.456,481,1363,.353,2516,5204,.483,1696,2180,.778,1086,2259,3345,1822,611,359,1410,1787,8171,99.6
10,WashingtonBullets,82,19855,3208,6678,.480,331,1001,.331,2877,5677,.507,1400,1979,.707,1010,2420,3430,1921,712,402,1289,1815,8147,99.4
11,PortlandTrailBlazers,82,19855,3000,6465,.464,501,1401,.358,2499,5064,.493,1613,2261,.713,1058,2494,3552,1710,640,435,1357,1928,8114,99.0
12,CharlotteHornets,82,19805,2988,6342,.471,591,1382,.428,2397,4960,.483,1541,1984,.777,910,2298,3208,2021,597,349,1203,1702,8108,98.9
13,DenverNuggets,82,19930,2934,6687,.439,636,1711,.372,2298,4976,.462,1516,1992,.761,994,2452,3446,1889,503,487,1359,1784,8020,97.8
14,LosAngelesClippers,82,19930,2989,6696,.446,474,1339,.354,2515,5357,.469,1517,2074,.731,1092,2242,3334,1662,733,441,1311,1964,7969,97.2
15,NewJerseyNets,82,19780,2994,7091,.422,484,1371,.353,2510,5720,.439,1502,2031,.740,1410,2376,3786,1726,677,481,1290,1865,7974,97.2
16,SacramentoKings,82,19855,3000,6611,.454,414,1058,.391,2586,5553,.466,1494,2067,.723,1100,2307,3407,1799,588,362,1332,1946,7908,96.4
17,MinnesotaTimberwolves,82,19780,2937,6436,.456,371,1093,.339,2566,5343,.480,1637,2180,.751,957,2302,3259,1874,618,557,1243,1818,7882,96.1
18,TorontoRaptors,82,19830,2897,6632,.437,589,1624,.363,2308,5008,.461,1446,2008,.720,1135,2254,3389,1714,722,517,1347,1883,7829,95.5
19,NewYorkKnicks,82,19855,2882,6227,.463,470,1294,.363,2412,4933,.489,1585,2119,.748,973,2516,3489,1809,629,378,1462,2033,7819,95.4
20,IndianaPacers,82,19930,2851,6254,.456,430,1130,.381,2421,5124,.472,1687,2336,.722,1029,2390,3419,1750,585,394,1338,1977,7819,95.4
21,MilwaukeeBucks,82,19730,2967,6303,.471,324,920,.352,2643,5383,.491,1560,2104,.741,955,2263,3218,1610,632,348,1285,1892,7818,95.3
22,MiamiHeat,82,19805,2822,6235,.453,678,1865,.364,2144,4370,.491,1454,2022,.719,957,2402,3359,1735,650,439,1306,1919,7776,94.8
23,AtlantaHawks,82,19805,2812,6307,.446,659,1834,.359,2153,4473,.481,1491,1955,.763,1021,2350,3371,1557,701,427,1228,1591,7774,94.8
24,DetroitPistons,82,19830,2827,6095,.464,582,1499,.388,2245,4596,.488,1487,1995,.745,858,2292,3150,1554,632,283,1041,1652,7723,94.2
25,OrlandoMagic,82,19855,2839,6497,.437,567,1662,.341,2272,4835,.470,1474,1975,.746,1071,2221,3292,1689,694,363,1250,1643,7719,94.1
26,DallasMavericks,82,19805,2813,6452,.436,430,1316,.327,2383,5136,.464,1375,1918,.717,1040,2262,3302,1663,654,351,1324,1798,7431,90.6
27,SanAntonioSpurs,82,19730,2827,6391,.442,378,1180,.320,2449,5211,.470,1386,1929,.719,1101,2129,3230,1661,646,431,1243,1764,7418,90.5
28,VancouverGrizzlies,82,19780,2819,6453,.437,445,1274,.349,2374,5179,.458,1230,1734,.709,1023,2155,3178,1862,657,464,1301,1755,7313,89.2
29,ClevelandCavaliers,82,19855,2704,5972,.453,483,1284,.376,2221,4688,.474,1282,1773,.723,909,2159,3068,1714,655,315,1188,1882,7173,87.5
,LeagueAverage,82,19833,2958,6503,.455,496,1377,.360,2462,5126,.480,1534,2078,.738,1039,2330,3369,1808,672,403,1285,1814,7946,96.9
