
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,DenverNuggets,82,19780,3770,7961,.474,192,562,.342,3578,7399,.484,1841,2289,.804,1163,2442,3605,2300,832,401,1186,1982,9573,116.7
2,PortlandTrailBlazers,82,19730,3661,7460,.491,117,380,.308,3544,7080,.501,2079,2701,.770,1251,2491,3742,2307,726,347,1351,2091,9518,116.1
3,BostonCeltics,82,19780,3599,6905,.521,271,705,.384,3328,6200,.537,1846,2300,.803,930,2440,3370,2448,620,415,1304,1804,9315,113.6
4,SanAntonioSpurs,82,19805,3706,7559,.490,133,412,.323,3573,7147,.500,1769,2412,.733,1184,2335,3519,2344,739,468,1418,1991,9314,113.6
5,LosAngelesLakers,82,19805,3576,7078,.505,142,478,.297,3434,6600,.520,1956,2480,.789,1073,2491,3564,2347,672,404,1318,1715,9250,112.8
6,SeattleSuperSonics,82,19855,3544,7443,.476,221,638,.346,3323,6805,.488,1826,2442,.748,1313,2314,3627,2146,775,447,1376,2380,9135,111.4
7,DallasMavericks,82,19755,3413,7191,.475,154,526,.293,3259,6665,.489,1980,2510,.789,1341,2495,3836,1984,645,446,1257,1734,8960,109.3
8,DetroitPistons,82,19780,3461,7018,.493,58,202,.287,3403,6816,.499,1977,2612,.757,1181,2482,3663,2011,588,394,1348,1957,8957,109.2
9,HoustonRockets,82,19680,3465,7354,.471,69,291,.237,3396,7063,.481,1936,2483,.780,1239,2530,3769,1936,712,502,1367,1865,8935,109.0
10,UtahJazz,82,19705,3484,7092,.491,129,404,.319,3355,6688,.502,1802,2404,.750,1066,2553,3619,2407,771,627,1481,1986,8899,108.5
11,PhoenixSuns,82,19730,3551,7302,.486,118,357,.331,3433,6945,.494,1681,2200,.764,1113,2379,3492,2332,675,353,1413,2045,8901,108.5
12,SacramentoKings,82,19780,3458,7337,.471,144,450,.320,3314,6887,.481,1795,2324,.772,1232,2461,3693,2116,582,493,1457,1895,8855,108.0
13,AtlantaHawks,82,19780,3443,7102,.485,85,282,.301,3358,6820,.492,1873,2441,.767,1228,2379,3607,2062,635,537,1225,2050,8844,107.9
14,GoldenStateWarriors,82,19780,3463,7404,.468,91,312,.292,3372,7092,.475,1754,2204,.796,1140,2252,3392,2005,741,283,1395,2155,8771,107.0
15,MilwaukeeBucks,82,19780,3366,7079,.475,133,410,.324,3233,6669,.485,1832,2364,.775,1117,2335,3452,2194,671,380,1275,1989,8697,106.1
16,Philadelphia76ers,82,19905,3214,6785,.474,152,471,.323,3062,6314,.485,2087,2731,.764,1219,2307,3526,1897,672,465,1433,1866,8667,105.7
17,WashingtonBullets,82,19880,3355,7164,.468,29,138,.210,3326,7026,.473,1914,2476,.773,1229,2297,3526,1875,698,502,1384,1922,8653,105.5
18,NewYorkKnicks,82,19805,3363,7232,.465,179,567,.316,3184,6665,.478,1750,2306,.759,1286,2194,3480,2012,789,445,1518,2361,8655,105.5
19,ChicagoBulls,82,19855,3434,7015,.490,56,243,.230,3378,6772,.499,1685,2221,.759,1170,2459,3629,2149,712,475,1263,1849,8609,105.0
20,IndianaPacers,82,19705,3436,7154,.480,163,485,.336,3273,6669,.491,1546,1982,.780,1078,2457,3535,1977,619,345,1318,2038,8581,104.6
21,ClevelandCavaliers,82,19780,3313,6755,.490,127,336,.378,3186,6419,.496,1813,2438,.744,1015,2289,3304,2070,733,526,1439,1836,8566,104.5
22,NewJerseyNets,82,19780,3208,6857,.468,137,455,.301,3071,6402,.480,1682,2308,.729,1075,2262,3337,1795,727,385,1503,2042,8235,100.4
23,LosAngelesClippers,82,19805,3190,7194,.443,79,317,.249,3111,6877,.452,1644,2305,.713,1191,2350,3541,1885,721,520,1534,1908,8103,98.8
,LeagueAverage,82,19784,3455,7193,.480,130,410,.316,3326,6783,.490,1829,2388,.766,1167,2391,3558,2113,698,442,1372,1977,8869,108.2
