
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,PhoenixSuns,82,19730,3494,7093,.493,398,1095,.363,3096,5998,.516,1912,2539,.753,1141,2510,3651,2087,752,455,1359,1739,9298,113.4
2,CharlotteHornets,82,19755,3512,7210,.487,175,537,.326,3337,6673,.500,1831,2374,.771,1095,2508,3603,2161,639,473,1325,1790,9030,110.1
3,GoldenStateWarriors,82,19905,3474,7212,.482,298,852,.350,3176,6360,.499,1768,2465,.717,1219,2384,3603,2010,693,383,1451,2056,9014,109.9
4,PortlandTrailBlazers,82,19905,3361,7343,.458,275,843,.326,3086,6500,.475,1901,2551,.745,1226,2507,3733,1969,770,425,1215,1892,8898,108.5
5,SeattleSuperSonics,82,19780,3473,7140,.486,218,610,.357,3255,6530,.498,1720,2259,.761,1222,2254,3476,1906,944,409,1267,1971,8884,108.3
6,SacramentoKings,82,19780,3360,7264,.463,262,788,.332,3098,6476,.478,1865,2447,.762,1137,2281,3418,2075,768,348,1364,2085,8847,107.9
7,IndianaPacers,82,19755,3371,7022,.480,257,789,.326,3114,6233,.500,1837,2399,.766,1220,2455,3675,2144,615,403,1256,2045,8836,107.8
8,ClevelandCavaliers,82,19830,3425,6887,.497,283,742,.381,3142,6145,.511,1699,2119,.802,929,2496,3425,2349,615,536,1120,1580,8832,107.7
9,AtlantaHawks,82,19830,3392,7272,.466,382,1076,.355,3010,6196,.486,1648,2221,.742,1290,2344,3634,2084,806,278,1339,1807,8814,107.5
10,LosAngelesClippers,82,19805,3544,7329,.484,133,491,.271,3411,6838,.499,1562,2177,.718,1183,2360,3543,2242,847,491,1338,1920,8783,107.1
11,UtahJazz,82,19755,3336,6828,.489,130,414,.314,3206,6414,.500,1907,2491,.766,1041,2463,3504,2177,746,344,1270,1965,8709,106.2
12,SanAntonioSpurs,82,19855,3311,6762,.490,236,692,.341,3075,6070,.507,1794,2346,.765,919,2542,3461,2012,582,514,1227,1844,8652,105.5
13,OrlandoMagic,82,19880,3257,6708,.486,317,889,.357,2940,5819,.505,1821,2495,.730,1040,2566,3606,1952,542,467,1429,1925,8652,105.5
14,DenverNuggets,82,19830,3352,7282,.460,138,454,.304,3214,6828,.471,1784,2360,.756,1266,2564,3830,1735,651,565,1413,2039,8626,105.2
15,ChicagoBulls,82,19830,3475,7205,.482,244,669,.365,3231,6536,.494,1431,1952,.733,1290,2283,3573,2133,783,410,1103,1804,8625,105.2
16,Philadelphia76ers,82,19930,3225,7075,.456,330,941,.351,2895,6134,.472,1776,2259,.786,1031,2431,3462,2038,672,566,1362,1604,8556,104.3
17,LosAngelesLakers,82,19830,3309,6994,.473,187,626,.299,3122,6368,.490,1741,2304,.756,1103,2288,3391,2013,782,431,1266,1778,8546,104.2
18,HoustonRockets,82,19780,3280,6744,.486,387,1073,.361,2893,5671,.510,1584,2090,.758,985,2532,3517,2115,682,543,1295,1699,8531,104.0
19,BostonCeltics,82,19780,3453,7093,.487,110,383,.287,3343,6710,.498,1486,1912,.777,1076,2436,3512,1999,647,458,1174,1862,8502,103.7
20,MiamiHeat,82,20005,3127,6850,.456,333,940,.354,2794,5910,.473,1908,2476,.771,1134,2384,3518,1688,609,350,1287,2011,8495,103.6
21,NewJerseyNets,82,19780,3272,7084,.462,155,488,.318,3117,6596,.473,1732,2258,.767,1291,2506,3797,1872,693,526,1355,1892,8431,102.8
22,MilwaukeeBucks,82,19730,3268,6924,.472,312,936,.333,2956,5988,.494,1544,2081,.742,1050,2113,3163,2084,863,393,1363,1978,8392,102.3
23,WashingtonBullets,82,19805,3302,7065,.467,174,578,.301,3128,6487,.482,1575,2107,.748,1031,2317,3348,2110,673,359,1323,1795,8353,101.9
24,NewYorkKnicks,82,19930,3209,6898,.465,193,604,.320,3016,6294,.479,1717,2316,.741,1150,2660,3810,2125,680,372,1296,2111,8328,101.6
25,DetroitPistons,82,19780,3267,7211,.453,292,908,.322,2975,6303,.472,1426,1957,.729,1293,2315,3608,1941,580,249,1152,1747,8252,100.6
26,DallasMavericks,82,19730,3164,7271,.435,283,837,.338,2881,6434,.448,1530,2171,.705,1234,2265,3499,1683,649,355,1459,2302,8141,99.3
27,MinnesotaTimberwolves,82,19855,3043,6529,.466,166,569,.292,2877,5960,.483,1794,2247,.798,940,2204,3144,2001,649,455,1422,2028,8046,98.1
,LeagueAverage,82,19821,3335,7048,.473,247,734,.336,3088,6314,.489,1715,2273,.754,1131,2406,3537,2026,701,428,1305,1899,8632,105.3
