
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,ChicagoBulls,82,19730,3293,6892,.478,544,1349,.403,2749,5543,.496,1495,2004,.746,1247,2411,3658,2033,745,345,1175,1807,8625,105.2
2,OrlandoMagic,82,19855,3203,6640,.482,622,1645,.378,2581,4995,.517,1543,2232,.691,966,2401,3367,2080,663,406,1160,1709,8571,104.5
3,SeattleSuperSonics,82,19880,3074,6401,.480,581,1596,.364,2493,4805,.519,1843,2424,.760,954,2449,3403,1999,882,393,1441,1967,8572,104.5
4,PhoenixSuns,82,19955,3159,6673,.473,327,984,.332,2832,5689,.498,1907,2472,.771,1009,2501,3510,2001,623,331,1207,1776,8552,104.3
5,BostonCeltics,82,19905,3163,6942,.456,539,1453,.371,2624,5489,.478,1630,2284,.714,1050,2427,3477,1792,653,406,1302,2041,8495,103.6
6,SanAntonioSpurs,82,19780,3148,6602,.477,518,1320,.392,2630,5282,.498,1663,2261,.736,937,2586,3523,2044,645,536,1195,1820,8477,103.4
7,LosAngelesLakers,82,19680,3216,6706,.480,477,1359,.351,2739,5347,.512,1529,2049,.746,995,2303,3298,2080,722,516,1163,1702,8438,102.9
8,CharlotteHornets,82,19880,3108,6618,.470,584,1520,.384,2524,5098,.495,1631,2119,.770,987,2256,3243,1907,582,277,1241,1815,8431,102.8
9,HoustonRockets,82,19805,3078,6638,.464,637,1761,.362,2441,4877,.501,1611,2106,.765,919,2455,3374,1982,645,476,1245,1753,8404,102.5
10,WashingtonBullets,82,19805,3202,6618,.484,493,1212,.407,2709,5406,.501,1511,2076,.728,930,2327,3257,1815,592,506,1327,1981,8408,102.5
11,DallasMavericks,82,19930,3124,7431,.420,735,2039,.360,2389,5392,.443,1426,1975,.722,1408,2379,3787,1913,642,342,1270,1836,8409,102.5
12,UtahJazz,82,19780,3129,6417,.488,377,1013,.372,2752,5404,.509,1769,2302,.768,993,2373,3366,2139,667,418,1215,2046,8404,102.5
13,GoldenStateWarriors,82,19755,3056,6700,.456,447,1199,.373,2609,5501,.474,1775,2340,.759,1173,2285,3458,1889,706,470,1343,1835,8334,101.6
14,SacramentoKings,82,19755,2971,6494,.457,462,1194,.387,2509,5300,.473,1759,2407,.731,1114,2345,3459,1829,643,436,1442,2131,8163,99.5
15,LosAngelesClippers,82,19730,3126,6618,.472,509,1374,.370,2617,5244,.499,1392,1984,.702,979,2190,3169,1672,703,411,1355,2008,8153,99.4
16,IndianaPacers,82,19755,2979,6205,.480,363,973,.373,2616,5232,.500,1823,2416,.755,1010,2262,3272,1917,579,323,1335,2031,8144,99.3
17,PortlandTrailBlazers,82,19905,3064,6688,.458,480,1358,.353,2584,5330,.485,1537,2321,.662,1160,2577,3737,1760,594,417,1377,1859,8145,99.3
18,AtlantaHawks,82,19730,2985,6665,.448,566,1595,.355,2419,5070,.477,1523,2012,.757,1182,2148,3330,1609,771,319,1228,1714,8059,98.3
19,MinnesotaTimberwolves,82,19780,2974,6481,.459,279,857,.326,2695,5624,.479,1797,2314,.777,985,2271,3256,1867,650,481,1426,1994,8024,97.9
20,DenverNuggets,82,19830,3001,6657,.451,397,1148,.346,2604,5509,.473,1614,2173,.743,1057,2487,3544,1851,521,597,1265,1882,8013,97.7
21,TorontoRaptors,82,19830,3084,6598,.467,414,1168,.354,2670,5430,.492,1412,1953,.723,1071,2213,3284,1927,745,493,1544,1987,7994,97.5
22,NewYorkKnicks,82,19830,3003,6382,.471,485,1285,.377,2518,5097,.494,1480,1954,.757,829,2449,3278,1822,645,377,1272,1864,7971,97.2
23,MiamiHeat,82,19780,2902,6348,.457,552,1458,.379,2350,4890,.481,1553,2187,.710,999,2495,3494,1752,574,439,1394,2158,7909,96.5
24,MilwaukeeBucks,82,19730,3034,6490,.467,357,1056,.338,2677,5434,.493,1412,1914,.738,973,2164,3137,1755,582,307,1295,1943,7837,95.6
25,DetroitPistons,82,19830,2810,6122,.459,545,1350,.404,2265,4772,.475,1657,2206,.751,884,2440,3324,1610,506,352,1215,1953,7822,95.4
26,Philadelphia76ers,82,19730,2796,6418,.436,492,1438,.342,2304,4980,.463,1662,2263,.734,1031,2161,3192,1629,643,420,1414,1777,7746,94.5
27,NewJerseyNets,82,19905,2881,6750,.427,250,746,.335,2631,6004,.438,1672,2244,.745,1350,2503,3853,1752,627,571,1375,1880,7684,93.7
28,ClevelandCavaliers,82,19830,2761,5998,.460,596,1582,.377,2165,4416,.490,1355,1775,.763,867,2055,2922,1818,674,340,1073,1685,7473,91.1
29,VancouverGrizzlies,82,19880,2772,6483,.428,372,1129,.329,2400,5354,.448,1446,1998,.724,957,2170,3127,1706,728,333,1347,1852,7362,89.8
,LeagueAverage,82,19813,3038,6575,.462,483,1316,.367,2555,5259,.486,1601,2164,.740,1035,2348,3383,1860,654,415,1298,1890,8159,99.5
