
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,LosAngelesLakers,82,19830,3146,6536,.481,497,1415,.351,2649,5121,.517,1863,2743,.679,1079,2471,3550,2009,734,556,1256,1859,8652,105.5
2,MinnesotaTimberwolves,82,19930,3157,6844,.461,303,873,.347,2854,5971,.478,1673,2253,.743,1063,2429,3492,2068,639,427,1138,1882,8290,101.1
3,UtahJazz,82,19780,2993,6113,.490,249,670,.372,2744,5443,.504,2044,2644,.773,962,2405,3367,2070,648,412,1260,1961,8279,101.0
4,SeattleSuperSonics,82,19755,3052,6458,.473,621,1569,.396,2431,4889,.497,1521,2109,.721,931,2225,3156,1986,804,376,1145,1812,8246,100.6
5,NewJerseyNets,82,19880,3055,6928,.441,310,937,.331,2745,5991,.458,1750,2351,.744,1344,2137,3481,1685,777,314,1180,1917,8170,99.6
6,PhoenixSuns,82,19955,3138,6710,.468,431,1211,.356,2707,5499,.492,1459,1948,.749,991,2452,3443,2124,756,429,1236,1765,8166,99.6
7,HoustonRockets,82,19830,2946,6513,.452,573,1670,.343,2373,4843,.490,1634,2120,.771,987,2350,3337,1799,686,294,1298,1653,8099,98.8
8,WashingtonWizards,82,19805,3080,6811,.452,320,944,.339,2760,5867,.470,1489,2156,.691,1121,2341,3462,1900,689,379,1156,1839,7969,97.2
9,ChicagoBulls,82,19855,3064,6801,.451,311,962,.323,2753,5839,.471,1492,2009,.743,1243,2438,3681,1952,696,353,1178,1691,7931,96.7
10,CharlotteHornets,82,19780,2968,6344,.468,346,904,.383,2622,5440,.482,1641,2186,.751,985,2341,3326,1941,691,312,1247,1757,7923,96.6
11,VancouverGrizzlies,82,19830,3006,6567,.458,325,898,.362,2681,5669,.473,1586,2145,.739,1081,2313,3394,1960,614,349,1405,1809,7923,96.6
12,IndianaPacers,82,19830,2921,6223,.469,401,1029,.390,2520,5194,.485,1631,2136,.764,874,2348,3222,1889,645,368,1168,1859,7874,96.0
13,AtlantaHawks,82,19880,2887,6352,.455,337,1016,.332,2550,5336,.478,1749,2314,.756,1106,2417,3523,1569,653,491,1214,1671,7860,95.9
14,LosAngelesClippers,82,19780,2930,6690,.438,525,1468,.358,2405,5222,.461,1480,2047,.723,1040,2276,3316,1533,625,456,1323,1827,7865,95.9
15,BostonCeltics,82,19730,3012,6934,.434,415,1249,.332,2597,5685,.457,1425,1964,.726,1196,2044,3240,1816,987,366,1330,2203,7864,95.9
16,MiamiHeat,82,19755,2850,6327,.450,548,1544,.355,2302,4783,.481,1539,2082,.739,1028,2419,3447,1758,665,429,1226,1982,7787,95.0
17,TorontoRaptors,82,19930,2965,6813,.435,372,1086,.343,2593,5727,.453,1479,2060,.718,1187,2149,3336,1746,769,663,1371,1851,7781,94.9
18,MilwaukeeBucks,82,19930,2918,6399,.456,249,703,.354,2669,5696,.469,1663,2167,.767,1035,2236,3271,1649,733,357,1383,1915,7748,94.5
19,PortlandTrailBlazers,82,19830,2885,6397,.451,324,1047,.309,2561,5350,.479,1640,2226,.737,1086,2522,3608,1766,585,464,1383,1859,7734,94.3
20,DetroitPistons,82,19955,2862,6373,.449,293,938,.312,2569,5435,.473,1704,2288,.745,1044,2338,3382,1597,678,344,1198,1805,7721,94.2
21,Philadelphia76ers,82,19755,2837,6409,.443,243,810,.300,2594,5599,.463,1734,2352,.737,1125,2294,3419,1729,729,490,1354,1878,7651,93.3
22,SacramentoKings,82,19730,2957,6684,.442,283,806,.351,2674,5878,.455,1440,2096,.687,1094,2304,3398,1836,596,420,1271,1810,7637,93.1
23,ClevelandCavaliers,82,19830,2817,6207,.454,298,801,.372,2519,5406,.466,1653,2187,.756,955,2331,3286,1894,814,419,1418,1939,7585,92.5
24,SanAntonioSpurs,82,19830,2898,6187,.468,302,863,.350,2596,5324,.488,1489,2164,.688,984,2638,3622,1839,516,568,1318,1731,7587,92.5
25,NewYorkKnicks,82,19830,2864,6413,.447,382,1139,.335,2482,5274,.471,1399,1812,.772,978,2434,3412,1787,634,278,1247,1947,7509,91.6
26,DallasMavericks,82,19905,2882,6754,.427,422,1183,.357,2460,5571,.442,1308,1738,.753,1008,2280,3288,1535,646,466,1182,1643,7494,91.4
27,OrlandoMagic,82,19830,2771,6455,.429,293,907,.323,2478,5548,.447,1552,2138,.726,1178,2203,3381,1694,649,441,1258,1617,7387,90.1
28,DenverNuggets,82,19730,2677,6412,.417,288,893,.323,2389,5519,.433,1658,2147,.772,1040,2157,3197,1547,664,393,1311,1937,7300,89.0
29,GoldenStateWarriors,82,19830,2845,6883,.413,189,696,.272,2656,6187,.429,1358,1912,.710,1288,2473,3761,1708,621,448,1369,1859,7237,88.3
,LeagueAverage,82,19832,2944,6536,.450,360,1042,.346,2584,5493,.470,1588,2155,.737,1070,2337,3407,1806,688,416,1270,1837,7837,95.6
