
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,OrlandoMagic,82,19930,3460,6899,.502,523,1412,.370,2937,5487,.535,1648,2465,.669,1149,2457,3606,2281,672,488,1297,1726,9091,110.9
2,PhoenixSuns,82,19830,3356,6967,.482,584,1584,.369,2772,5383,.515,1777,2352,.756,1027,2403,3430,2198,687,312,1167,1839,9073,110.6
3,SeattleSuperSonics,82,19830,3310,6741,.491,491,1305,.376,2819,5436,.519,1944,2564,.758,1068,2337,3405,2115,917,392,1295,2067,9055,110.4
4,SanAntonioSpurs,82,19855,3236,6687,.484,434,1158,.375,2802,5529,.507,1836,2487,.738,1029,2661,3690,1919,656,456,1246,1871,8742,106.6
5,UtahJazz,82,19780,3243,6339,.512,301,801,.376,2942,5538,.531,1939,2483,.781,874,2412,3286,2256,758,392,1289,2045,8726,106.4
6,GoldenStateWarriors,82,19905,3217,6873,.468,546,1602,.341,2671,5271,.507,1687,2395,.704,1101,2371,3472,2017,649,391,1497,1804,8667,105.7
7,LosAngelesLakers,82,19905,3284,7088,.463,525,1492,.352,2759,5596,.493,1523,2072,.735,1126,2316,3442,2078,750,563,1243,1933,8616,105.1
8,HoustonRockets,82,19730,3159,6579,.480,646,1757,.368,2513,4822,.521,1527,2039,.749,880,2440,3320,2060,721,514,1322,1714,8491,103.5
9,DallasMavericks,82,19930,3227,7342,.440,386,1200,.322,2841,6142,.463,1622,2210,.734,1514,2433,3947,1941,579,348,1345,1811,8462,103.2
10,PortlandTrailBlazers,82,19705,3217,7134,.451,462,1266,.365,2755,5868,.469,1555,2230,.697,1352,2443,3795,1846,668,467,1212,2024,8451,103.1
11,BostonCeltics,82,19805,3179,6847,.464,362,984,.368,2817,5863,.480,1708,2268,.753,1156,2320,3476,1783,612,361,1305,1975,8428,102.8
12,ChicagoBulls,82,19830,3191,6710,.476,443,1187,.373,2748,5523,.498,1500,2065,.726,1106,2294,3400,1970,797,352,1297,1962,8325,101.5
13,DenverNuggets,82,19980,3098,6461,.479,413,1160,.356,2685,5301,.507,1700,2305,.738,1040,2402,3442,1836,660,585,1381,2063,8309,101.3
14,MiamiHeat,82,19805,3144,6738,.467,436,1182,.369,2708,5556,.487,1569,2133,.736,1092,2272,3364,1779,662,298,1291,2000,8293,101.1
15,CharlotteHornets,82,19805,3051,6438,.474,560,1409,.397,2491,5029,.495,1587,2042,.777,832,2395,3227,2072,620,399,1224,1685,8249,100.6
16,WashingtonBullets,82,19855,3176,6899,.460,433,1264,.343,2743,5635,.487,1457,2013,.724,1044,2219,3263,1749,648,404,1301,1949,8242,100.5
17,MilwaukeeBucks,82,19855,3022,6586,.459,494,1349,.366,2528,5237,.483,1608,2259,.712,1063,2187,3250,1737,674,359,1393,1858,8146,99.3
18,IndianaPacers,82,19780,2983,6248,.477,374,985,.380,2609,5263,.496,1796,2390,.751,1051,2290,3341,1877,703,363,1340,1939,8136,99.2
19,NewYorkKnicks,82,19780,2985,6394,.467,532,1446,.368,2453,4948,.496,1552,2114,.734,929,2473,3402,2055,591,387,1305,2102,8054,98.2
20,DetroitPistons,82,19730,3060,6633,.461,494,1396,.354,2566,5237,.490,1439,1941,.741,958,2204,3162,1872,705,420,1318,2151,8053,98.2
21,SacramentoKings,82,19855,3025,6463,.468,359,1037,.346,2666,5426,.491,1647,2317,.711,1073,2325,3398,1824,650,457,1449,2040,8056,98.2
22,NewJerseyNets,82,19880,2939,6738,.436,414,1297,.319,2525,5441,.464,1750,2305,.759,1213,2569,3782,1884,544,548,1300,1844,8042,98.1
23,LosAngelesClippers,82,19880,3060,6888,.444,331,1051,.315,2729,5837,.468,1476,2079,.710,1064,2076,3140,1805,787,435,1334,2152,7927,96.7
24,AtlantaHawks,82,19855,2986,6680,.447,539,1580,.341,2447,5100,.480,1410,1948,.724,1104,2272,3376,1757,738,412,1221,1804,7921,96.6
25,Philadelphia76ers,82,19805,2949,6577,.448,355,936,.379,2594,5641,.460,1567,2125,.737,1105,2230,3335,1566,643,576,1355,1835,7820,95.4
26,MinnesotaTimberwolves,82,19780,2792,6219,.449,318,1016,.313,2474,5203,.475,1824,2355,.775,883,2090,2973,1780,609,402,1400,2074,7726,94.2
27,ClevelandCavaliers,82,19930,2756,6255,.441,398,1033,.385,2358,5222,.452,1507,1982,.760,1045,2237,3282,1672,630,349,1176,1694,7417,90.5
,LeagueAverage,82,19837,3115,6682,.466,450,1255,.359,2665,5427,.491,1635,2220,.737,1070,2338,3408,1916,679,423,1308,1924,8315,101.4
