Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,San Antonio Spurs*,82,19830,2737,6656,.411,338,1029,.328,2399,5627,.426,1448,1956,.740,1017,2236,3253,1556,730,378,1045,1845,7260,88.5
2,New York Knicks*,82,19830,2624,6130,.428,331,1045,.317,2293,5085,.451,1728,2304,.750,854,2341,3195,1585,653,313,1234,1705,7307,89.1
3,Chicago Bulls*,82,19855,2797,6483,.431,329,1022,.322,2468,5461,.452,1425,1956,.729,1016,2239,3255,1595,657,356,1268,1774,7348,89.6
4,Cleveland Cavaliers*,82,19830,2689,6214,.433,341,992,.344,2348,5222,.450,1642,2175,.755,948,2229,3177,1790,707,455,1444,1904,7361,89.8
5,Indiana Pacers*,82,19830,2788,6451,.432,274,867,.316,2514,5584,.450,1525,2096,.728,1114,2254,3368,1591,644,366,1237,1847,7375,89.9
6,Miami Heat*,82,19755,2723,6355,.428,305,921,.331,2418,5434,.445,1632,2195,.744,1058,2232,3290,1630,637,370,1214,1851,7383,90.0
7,Orlando Magic,82,19830,2930,6460,.454,313,967,.324,2617,5493,.476,1302,1769,.736,1089,2268,3357,1740,747,388,1259,1866,7475,91.2
8,Atlanta Hawks*,82,19880,2961,6698,.442,348,1017,.342,2613,5681,.460,1302,1772,.735,1081,2152,3233,1753,617,372,1118,1892,7572,92.3
9,Detroit Pistons,82,19955,2840,6377,.445,363,1100,.330,2477,5277,.469,1549,2077,.746,991,2334,3325,1753,648,382,1263,1874,7592,92.6
10,Portland Trail Blazers*,82,19830,2810,6520,.431,373,1087,.343,2437,5433,.449,1626,2253,.722,1011,2201,3212,1764,770,445,1160,1823,7619,92.9
11,Seattle SuperSonics*,82,19755,2896,6491,.446,417,1287,.324,2479,5204,.476,1449,2001,.724,1141,2314,3455,1825,640,403,1394,1824,7658,93.4
12,Phoenix Suns*,82,19955,2923,6618,.442,394,1091,.361,2529,5527,.458,1501,2051,.732,1051,2343,3394,1803,720,323,1363,1769,7741,94.4
13,Utah Jazz*,82,19780,2806,6390,.439,401,1122,.357,2405,5268,.457,1730,2284,.757,984,2012,2996,1690,645,423,1157,2133,7743,94.4
14,Charlotte Hornets*,82,19780,2977,6417,.464,369,1063,.347,2608,5354,.487,1436,1964,.731,965,2259,3224,1806,582,372,1240,1902,7759,94.6
15,Philadelphia 76ers,82,19755,2906,6440,.451,384,1115,.344,2522,5325,.474,1651,2262,.730,1115,2341,3456,1927,766,508,1318,1904,7847,95.7
16,Milwaukee Bucks,82,19930,2911,6319,.461,304,929,.327,2607,5390,.484,1779,2393,.743,1001,2260,3261,1746,765,398,1348,1808,7905,96.4
17,Washington Wizards,82,19805,2975,6540,.455,348,977,.356,2627,5563,.472,1623,2172,.747,1029,2468,3497,1725,632,372,1328,1924,7921,96.6
18,Golden State Warriors,82,19830,2992,6742,.444,334,962,.347,2658,5780,.460,1667,2286,.729,1134,2535,3669,2011,757,478,1154,1638,7985,97.4
19,Dallas Mavericks,82,19905,3138,6819,.460,386,1130,.342,2752,5689,.484,1333,1868,.714,1223,2644,3867,1882,658,374,1240,1608,7995,97.5
20,Los Angeles Lakers*,82,19830,2984,6800,.439,380,1071,.355,2604,5729,.455,1669,2281,.732,1123,2339,3462,1841,660,423,1281,2151,8017,97.8
21,New Jersey Nets*,82,19880,3016,6406,.471,356,1030,.346,2660,5376,.495,1653,2211,.748,1079,2316,3395,1771,616,515,1482,2023,8041,98.1
22,Boston Celtics,82,19730,2864,5981,.479,299,940,.318,2565,5041,.509,2052,2756,.745,1015,2446,3461,1826,696,406,1688,1719,8079,98.5
23,Sacramento Kings,82,19730,3095,6776,.457,345,968,.356,2750,5808,.473,1560,2102,.742,1157,2533,3690,1824,694,466,1256,1775,8095,98.7
24,Houston Rockets*,82,19830,3173,6769,.469,409,1120,.365,2764,5649,.489,1406,1891,.744,1041,2326,3367,1914,732,365,1170,1747,8161,99.5
25,Minnesota Timberwolves*,82,19930,3076,6860,.448,432,1206,.358,2644,5654,.468,1648,2220,.742,1116,2411,3527,1909,609,412,1228,1863,8232,100.4
26,Denver Nuggets,82,19730,3015,6370,.473,419,1105,.379,2596,5265,.493,1817,2410,.754,1095,2401,3496,1983,662,535,1243,1782,8266,100.8
27,Los Angeles Clippers,82,19780,3236,6832,.474,334,923,.362,2902,5909,.491,1663,2267,.734,1169,2469,3638,1826,726,412,1158,1747,8469,103.3
28,Vancouver Grizzlies,82,19830,3230,6797,.475,428,1111,.385,2802,5686,.493,1634,2233,.732,1146,2356,3502,2101,836,538,1163,1832,8522,103.9
29,Toronto Raptors,82,19930,3271,6826,.479,396,1034,.383,2875,5792,.496,1603,2289,.700,1270,2506,3776,2219,737,514,1370,1748,8541,104.2
