Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,Detroit Pistons*,82,19780,3157,6973,.453,211,625,.338,2946,6348,.464,1421,1866,.762,1115,2255,3370,1894,642,373,1117,1916,7946,96.9
2,New York Knicks*,82,19855,3082,6727,.458,179,606,.295,2903,6121,.474,1666,2172,.767,1014,2241,3255,1778,669,396,1249,1803,8009,97.7
3,Chicago Bulls*,82,19830,3206,6970,.460,218,657,.332,2988,6313,.473,1525,1985,.768,1081,2171,3252,1841,631,352,1288,1800,8155,99.5
4,San Antonio Spurs*,82,19780,3211,7098,.452,243,700,.347,2968,6398,.464,1587,2061,.770,1103,2362,3465,1882,753,463,1252,1810,8252,100.6
5,Los Angeles Lakers*,82,19830,3408,7095,.480,174,596,.292,3234,6499,.498,1329,1744,.762,1234,2384,3618,2173,594,389,1256,1831,8319,101.5
6,Utah Jazz*,82,19880,3292,7178,.459,234,695,.337,3058,6483,.472,1535,2056,.747,1146,2255,3401,1925,646,458,1205,1958,8353,101.9
7,Los Angeles Clippers*,82,19830,3211,6997,.459,224,648,.346,2987,6349,.470,1706,2249,.759,1151,2445,3596,1784,705,432,1396,1870,8352,101.9
8,Boston Celtics*,82,19780,3323,7293,.456,201,652,.308,3122,6641,.470,1601,2084,.768,1178,2333,3511,1923,680,414,1114,1634,8448,103.0
9,Philadelphia 76ers,82,19755,3449,7145,.483,189,615,.307,3260,6530,.499,1375,1772,.776,1171,2365,3536,2226,686,454,1184,1766,8462,103.2
10,Cleveland Cavaliers*,82,19805,3496,7435,.470,193,581,.332,3303,6854,.482,1294,1683,.769,1236,2376,3612,2156,649,417,1150,1874,8479,103.4
11,Houston Rockets,82,19880,3391,7317,.463,196,574,.341,3195,6743,.474,1529,1985,.770,1232,2406,3638,2131,743,384,1174,1673,8507,103.7
12,Portland Trail Blazers*,82,19880,3249,7150,.454,244,805,.303,3005,6345,.474,1797,2367,.759,1097,2336,3433,1980,688,433,1369,1957,8539,104.1
13,Seattle SuperSonics*,82,19855,3263,6864,.475,209,621,.337,3054,6243,.489,1848,2460,.751,1122,2228,3350,1832,697,479,1320,1850,8583,104.7
14,Dallas Mavericks,82,19755,3314,7051,.470,183,599,.306,3131,6452,.485,1823,2368,.770,1157,2631,3788,1936,723,456,1054,1735,8634,105.3
15,Phoenix Suns*,82,19805,3429,7477,.459,180,586,.307,3249,6891,.471,1669,2207,.756,1218,2345,3563,1909,659,493,1258,1931,8707,106.2
16,Milwaukee Bucks,82,19880,3445,6911,.498,221,603,.367,3224,6308,.511,1638,2195,.746,1170,2319,3489,2118,730,473,1420,1780,8749,106.7
17,Washington Bullets,82,19855,3431,7174,.478,212,601,.353,3219,6573,.490,1687,2240,.753,1197,2636,3833,1902,710,450,1325,1689,8761,106.8
18,New Jersey Nets*,82,19780,3422,7175,.477,161,508,.317,3261,6667,.489,1775,2318,.766,1215,2355,3570,1789,806,484,1343,1722,8780,107.1
19,Minnesota Timberwolves,82,19805,3453,7116,.485,171,483,.354,3282,6633,.495,1738,2337,.744,1311,2534,3845,2088,660,574,1215,1675,8815,107.5
20,Denver Nuggets,82,19780,3346,6967,.480,186,532,.350,3160,6435,.491,1943,2513,.773,1109,2530,3639,1811,780,593,1393,1787,8821,107.6
21,Atlanta Hawks,82,19905,3523,7342,.480,251,732,.343,3272,6610,.495,1537,2006,.766,1160,2545,3705,2168,711,393,1253,1732,8834,107.7
22,Orlando Magic,82,19705,3426,7045,.486,215,609,.353,3211,6436,.499,1830,2437,.751,1107,2445,3552,2095,791,534,1271,1895,8897,108.5
23,Miami Heat*,82,19830,3529,7157,.493,210,606,.347,3319,6551,.507,1685,2242,.752,1134,2415,3549,2070,731,447,1316,1968,8953,109.2
24,Sacramento Kings,82,19830,3557,7420,.479,204,616,.331,3353,6804,.493,1728,2297,.752,1311,2639,3950,2128,816,530,1357,1816,9046,110.3
25,Indiana Pacers*,82,19955,3425,7312,.468,216,640,.338,3209,6672,.481,1976,2627,.752,1241,2325,3566,2165,816,386,1247,1984,9042,110.3
26,Charlotte Hornets,82,19805,3717,7495,.496,205,632,.324,3512,6863,.512,1661,2241,.741,1253,2581,3834,2366,621,524,1392,1750,9300,113.4
27,Golden State Warriors*,82,19880,3616,7507,.482,257,776,.331,3359,6731,.499,1923,2563,.750,1324,2436,3760,2122,794,435,1512,2021,9412,114.8
