Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,Atlanta Hawks*,50,12075,1598,3873,.413,190,634,.300,1408,3239,.435,784,1076,.729,581,1369,1950,895,379,243,675,1202,4170,83.4
2,Miami Heat*,50,12025,1565,3805,.411,211,606,.348,1354,3199,.423,860,1167,.737,619,1342,1961,853,387,188,677,1102,4201,84.0
3,San Antonio Spurs*,50,12075,1631,4061,.402,170,559,.304,1461,3502,.417,805,1148,.701,696,1407,2103,941,437,243,730,1148,4237,84.7
4,New York Knicks*,50,12100,1528,3790,.403,234,662,.353,1294,3128,.414,979,1335,.733,616,1426,2042,923,425,215,766,1035,4269,85.4
5,Utah Jazz*,50,12175,1595,3863,.413,214,666,.321,1381,3197,.432,936,1299,.721,635,1294,1929,904,431,264,744,1309,4340,86.8
6,Orlando Magic*,50,12050,1708,3856,.443,230,667,.345,1478,3189,.463,697,986,.707,595,1424,2019,1039,468,239,863,1111,4343,86.9
7,Detroit Pistons*,50,12050,1585,3639,.436,236,682,.346,1349,2957,.456,941,1317,.715,548,1377,1925,1043,424,225,770,1113,4347,86.9
8,Philadelphia 76ers*,50,12150,1599,3784,.423,241,716,.337,1358,3068,.443,941,1288,.731,619,1402,2021,999,435,263,896,1185,4380,87.6
9,Cleveland Cavaliers,50,12050,1597,3664,.436,236,675,.350,1361,2989,.455,978,1316,.743,591,1405,1996,1056,392,282,821,1198,4408,88.2
10,Portland Trail Blazers*,50,12175,1644,3939,.417,220,691,.318,1424,3248,.438,916,1263,.725,616,1388,2004,962,411,244,785,1142,4424,88.5
11,Milwaukee Bucks*,50,12050,1600,3746,.427,272,814,.334,1328,2932,.453,1029,1369,.752,657,1398,2055,1018,399,194,830,1020,4501,90.0
12,Golden State Warriors,50,12125,1617,3848,.420,193,575,.336,1424,3273,.435,1114,1531,.728,656,1503,2159,1023,400,304,735,1027,4541,90.8
13,Indiana Pacers*,50,12100,1706,3935,.434,206,634,.325,1500,3301,.454,928,1227,.756,626,1426,2052,955,357,238,652,1127,4546,90.9
14,Chicago Bulls,50,12075,1723,3786,.455,208,612,.340,1515,3174,.477,914,1247,.733,551,1568,2119,1099,444,285,782,1074,4568,91.4
15,Houston Rockets*,50,12075,1793,4136,.434,230,645,.357,1563,3491,.448,779,1062,.734,664,1391,2055,1034,441,245,653,1030,4595,91.9
16,Minnesota Timberwolves*,50,12025,1680,3823,.439,213,654,.326,1467,3169,.463,1055,1470,.718,591,1563,2154,1114,363,262,836,1017,4628,92.6
17,Toronto Raptors,50,12075,1694,3855,.439,255,686,.372,1439,3169,.454,996,1368,.728,614,1393,2007,1095,446,258,773,1088,4639,92.8
18,Charlotte Hornets,50,12150,1739,4003,.434,212,637,.333,1527,3366,.454,959,1306,.734,655,1491,2146,1092,443,232,762,1151,4649,93.0
19,Phoenix Suns*,50,12050,1772,3936,.450,272,755,.360,1500,3181,.472,850,1224,.694,614,1506,2120,1064,410,205,812,1065,4666,93.3
20,Washington Wizards,50,12050,1705,3826,.446,218,619,.352,1487,3207,.464,1044,1418,.736,617,1517,2134,1079,402,212,792,1087,4672,93.4
21,Dallas Mavericks,50,12075,1815,4037,.450,216,686,.315,1599,3351,.477,855,1193,.717,660,1519,2179,1073,361,244,699,1042,4701,94.0
22,Boston Celtics,50,12150,1725,3896,.443,175,561,.312,1550,3335,.465,1118,1506,.742,642,1544,2186,1018,461,253,841,1001,4743,94.9
23,New Jersey Nets,50,12050,1796,3968,.453,223,654,.341,1573,3314,.475,943,1298,.727,624,1581,2205,968,395,326,813,1084,4758,95.2
24,Seattle SuperSonics,50,12100,1838,4026,.457,264,765,.345,1574,3261,.483,857,1187,.722,652,1446,2098,1111,399,224,746,1165,4797,95.9
25,Los Angeles Lakers*,50,12050,1759,3992,.441,217,653,.332,1542,3339,.462,1064,1501,.709,628,1403,2031,1062,408,196,716,1271,4799,96.0
26,Vancouver Grizzlies,50,12175,1813,3917,.463,229,653,.351,1584,3264,.485,1021,1400,.729,673,1456,2129,1189,490,328,779,1165,4876,97.5
27,Los Angeles Clippers,50,12125,1830,3858,.474,222,627,.354,1608,3231,.498,1078,1445,.746,640,1506,2146,1101,419,289,782,1042,4960,99.2
28,Denver Nuggets,50,12025,1885,4017,.469,237,640,.370,1648,3377,.488,997,1339,.745,620,1502,2122,1175,396,274,701,1103,5004,100.1
29,Sacramento Kings*,50,12200,2009,4500,.446,219,652,.336,1790,3848,.465,793,1113,.712,750,1598,2348,1165,490,221,790,1102,5030,100.6
