Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,Atlanta Hawks*,82,19730,3158,6998,.451,128,426,.300,3030,6572,.461,1987,2598,.765,1196,2277,3473,1917,619,385,1314,2034,8431,102.8
2,Chicago Bulls*,82,19830,3337,6910,.483,115,337,.341,3222,6573,.490,1734,2255,.769,1027,2317,3344,2028,583,492,1269,1844,8523,103.9
3,Houston Rockets*,82,19780,3348,7225,.463,100,355,.282,3248,6870,.473,1887,2422,.779,1167,2364,3531,2126,721,368,1366,1922,8683,105.9
4,Boston Celtics*,82,19805,3470,7500,.463,124,405,.306,3346,7095,.472,1628,2148,.758,1237,2287,3524,2060,722,338,1156,1911,8692,106.0
5,Milwaukee Bucks*,82,19780,3247,6906,.470,120,415,.289,3127,6491,.482,2117,2796,.757,1191,2477,3668,2014,659,460,1551,2024,8731,106.5
6,Philadelphia 76ers*,82,19880,3537,7204,.491,119,416,.286,3418,6788,.504,1552,2049,.757,1214,2202,3416,2202,813,446,1372,1982,8745,106.6
7,Indiana Pacers*,82,19930,3344,6969,.480,103,345,.299,3241,6624,.489,1960,2584,.759,1117,2584,3701,2019,660,472,1416,1852,8751,106.7
8,Washington Bullets*,82,19705,3522,7453,.473,104,358,.291,3418,7095,.482,1654,2183,.758,1334,2483,3817,2144,699,548,1439,1938,8802,107.3
9,Utah Jazz*,82,19755,3347,7338,.456,143,451,.317,3204,6887,.465,1974,2564,.770,1310,2637,3947,2011,718,457,1579,1992,8811,107.5
10,Detroit Pistons*,82,19830,3376,7307,.462,133,419,.317,3243,6888,.471,1951,2608,.748,1143,2339,3482,2029,670,472,1294,2067,8836,107.8
11,Cleveland Cavaliers,82,19755,3556,7441,.478,95,342,.278,3461,7099,.488,1664,2209,.753,1254,2396,3650,2056,810,479,1398,2076,8871,108.2
12,Los Angeles Lakers*,82,19730,3520,7531,.467,122,431,.283,3398,7100,.479,1731,2265,.764,1280,2174,3454,2212,721,404,1370,2004,8893,108.5
13,New York Knicks,82,19780,3500,7142,.490,94,358,.263,3406,6784,.502,1928,2534,.761,1331,2448,3779,2152,761,400,1417,1950,9022,110.0
14,Dallas Mavericks*,82,19880,3586,7503,.478,128,434,.295,3458,7069,.489,1750,2293,.763,1254,2386,3640,2304,571,421,1332,2136,9050,110.4
15,Seattle SuperSonics*,82,19855,3514,7329,.479,93,324,.287,3421,7005,.488,2166,2819,.768,1236,2278,3514,2023,731,409,1342,2027,9287,113.3
16,San Antonio Spurs,82,19805,3704,7310,.507,106,379,.280,3598,6931,.519,1786,2364,.755,1100,2461,3561,2375,699,463,1417,1844,9300,113.4
17,New Jersey Nets,82,19855,3418,7125,.480,118,366,.322,3300,6759,.488,2353,3018,.780,1129,2352,3481,1958,814,566,1357,2126,9307,113.5
18,Phoenix Suns,82,19855,3623,7336,.494,123,395,.311,3500,6941,.504,1942,2570,.756,1235,2355,3590,2246,799,435,1428,2034,9311,113.5
19,Sacramento Kings,82,19780,3656,7469,.489,125,395,.316,3531,7074,.499,1922,2500,.769,1160,2355,3515,2154,707,487,1210,2068,9359,114.1
20,Golden State Warriors*,82,19905,3615,7339,.493,155,460,.337,3460,6879,.503,1995,2665,.749,1249,2481,3730,2174,688,450,1412,2052,9380,114.4
21,Portland Trail Blazers*,82,19805,3649,7523,.485,116,421,.276,3533,7102,.497,1996,2589,.771,1208,2279,3487,2189,735,473,1504,2228,9410,114.8
22,Los Angeles Clippers,82,19780,3759,7254,.518,110,320,.344,3649,6934,.526,1875,2515,.746,1187,2643,3830,2416,806,534,1533,2021,9503,115.9
23,Denver Nuggets*,82,19780,3636,7343,.495,113,361,.313,3523,6982,.505,2255,2901,.777,1166,2720,3886,2189,558,452,1564,2145,9640,117.6
