Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,Cleveland Cavaliers,82,19855,2488,5638,.441,459,1230,.373,2029,4408,.460,1587,2138,.742,845,2186,3031,1647,549,350,1331,1748,7022,85.6
2,Detroit Pistons*,82,19830,2768,6231,.444,528,1430,.369,2240,4801,.467,1229,1668,.737,964,2264,3228,1795,488,282,1195,1784,7293,88.9
3,Miami Heat*,82,19805,2687,6226,.432,411,1134,.362,2276,5092,.447,1541,2108,.731,999,2321,3320,1512,646,392,1324,1831,7326,89.3
4,Atlanta Hawks*,82,19805,2804,6451,.435,485,1399,.347,2319,5052,.459,1235,1676,.737,1045,2225,3270,1665,605,332,1267,1747,7328,89.4
5,New York Knicks*,82,19855,2665,6272,.425,481,1374,.350,2184,4898,.446,1752,2389,.733,911,2220,3131,1589,727,295,1333,1882,7563,92.2
6,Chicago Bulls*,82,19730,2898,6653,.436,471,1408,.335,2427,5245,.463,1305,1770,.737,1088,2205,3293,1619,624,286,1293,1732,7572,92.3
7,Seattle SuperSonics*,82,19780,2759,6259,.441,613,1644,.373,2146,4615,.465,1513,2042,.741,1015,2256,3271,1751,634,423,1535,1927,7644,93.2
8,Utah Jazz*,82,19830,2708,6188,.438,521,1480,.352,2187,4708,.465,1796,2395,.750,957,2101,3058,1593,639,373,1330,2045,7733,94.3
9,Indiana Pacers,82,19930,2799,6357,.440,499,1440,.347,2300,4917,.468,1642,2182,.753,1004,2261,3265,1737,693,418,1289,1952,7739,94.4
10,Orlando Magic*,82,19855,2966,6450,.460,455,1327,.343,2511,5123,.490,1361,1860,.732,1080,2398,3478,1798,704,417,1314,1769,7748,94.5
11,Portland Trail Blazers*,82,19855,2798,6423,.436,457,1279,.357,2341,5144,.455,1719,2327,.739,952,2197,3149,1703,656,428,1242,1887,7772,94.8
12,Los Angeles Lakers*,82,19930,2922,6619,.441,479,1379,.347,2443,5240,.466,1527,2126,.718,1110,2368,3478,1880,620,388,1341,1934,7850,95.7
13,Houston Rockets*,82,19855,3030,6845,.443,519,1547,.335,2511,5298,.474,1302,1785,.729,1029,2332,3361,1835,731,365,1172,1735,7881,96.1
14,Charlotte Hornets*,82,19805,3056,6650,.460,487,1364,.357,2569,5286,.486,1356,1857,.730,1077,2256,3333,1783,532,335,1143,1781,7955,97.0
15,Dallas Mavericks,82,19805,2966,6469,.458,538,1444,.373,2428,5025,.483,1482,1974,.751,1098,2428,3526,1794,687,433,1284,1720,7952,97.0
16,Milwaukee Bucks,82,19730,2999,6355,.472,369,1080,.342,2630,5275,.499,1606,2197,.731,975,2257,3232,1820,688,392,1201,1777,7973,97.2
17,Minnesota Timberwolves*,82,19780,2945,6539,.450,467,1290,.362,2478,5249,.472,1646,2184,.754,1069,2364,3433,1785,654,445,1283,1829,8003,97.6
18,Washington Bullets*,82,19855,3011,6637,.454,492,1327,.371,2519,5310,.474,1500,2004,.749,1022,2336,3358,1671,665,334,1356,1769,8014,97.7
19,San Antonio Spurs,82,19730,3002,6379,.471,552,1425,.387,2450,4954,.495,1508,2042,.738,1048,2302,3350,1955,664,448,1180,1646,8064,98.3
20,Toronto Raptors,82,19830,2971,6390,.465,497,1427,.348,2474,4963,.498,1646,2274,.724,1033,2352,3385,1967,675,442,1338,1799,8085,98.6
21,Vancouver Grizzlies,82,19780,3092,6556,.472,500,1369,.365,2592,5187,.500,1468,2018,.727,1206,2426,3632,1974,725,461,1251,1593,8152,99.4
22,Los Angeles Clippers*,82,19930,2975,6445,.462,480,1345,.357,2495,5100,.489,1732,2312,.749,1051,2450,3501,1654,737,419,1369,1860,8162,99.5
23,Sacramento Kings,82,19855,3010,6521,.462,442,1254,.352,2568,5267,.488,1723,2337,.737,1063,2341,3404,1777,716,429,1257,1789,8185,99.8
24,New Jersey Nets,82,19780,3100,6684,.464,520,1398,.372,2580,5286,.488,1628,2185,.745,1065,2464,3529,1925,675,516,1257,1780,8348,101.8
25,Phoenix Suns*,82,19855,3183,6818,.467,545,1479,.368,2638,5339,.494,1466,1984,.739,1048,2461,3509,1996,662,372,1298,1840,8377,102.2
26,Denver Nuggets,82,19930,3297,7063,.467,484,1232,.393,2813,5831,.482,1457,1943,.750,1086,2459,3545,1846,724,453,1057,1725,8535,104.1
27,Golden State Warriors,82,19905,3199,6735,.475,581,1558,.373,2618,5177,.506,1578,2103,.750,1089,2272,3361,2159,824,395,1288,1886,8557,104.4
28,Philadelphia 76ers,82,19780,3314,7045,.470,558,1529,.365,2756,5516,.500,1565,2134,.733,1186,2453,3639,2066,822,494,1278,2008,8751,106.7
29,Boston Celtics,82,19905,3365,6696,.503,493,1351,.365,2872,5345,.537,1626,2257,.720,1005,2628,3633,2130,720,557,1446,1827,8849,107.9
