Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,Utah Jazz*,82,19730,3113,7170,.434,185,606,.305,2928,6564,.446,1765,2342,.754,1220,2233,3453,1812,779,505,1329,2086,8176,99.7
2,Detroit Pistons*,82,19830,3140,7022,.447,158,554,.285,2982,6468,.461,1826,2325,.785,1131,2188,3319,1855,646,341,1225,2088,8264,100.8
3,Cleveland Cavaliers*,82,19755,3385,7346,.461,172,508,.339,3213,6838,.470,1358,1748,.777,1214,2283,3497,2043,685,363,1429,1970,8300,101.2
4,Dallas Mavericks,82,19780,3422,7304,.469,166,515,.322,3256,6789,.480,1573,2090,.753,1231,2500,3731,2133,660,386,1175,1869,8583,104.7
5,Chicago Bulls*,82,19780,3361,7098,.474,193,590,.327,3168,6508,.487,1693,2190,.773,1078,2300,3378,2099,686,348,1255,1781,8608,105.0
6,Milwaukee Bucks*,82,19755,3301,6901,.478,196,533,.368,3105,6368,.488,1838,2369,.776,1094,2335,3429,2109,707,425,1522,1935,8636,105.3
7,Atlanta Hawks*,82,19805,3363,7124,.472,147,511,.288,3216,6613,.486,1826,2329,.784,1261,2325,3586,2037,687,348,1487,2109,8699,106.1
8,Los Angeles Lakers*,82,19805,3541,7540,.470,194,587,.330,3347,6953,.481,1542,2051,.752,1178,2222,3400,2157,752,432,1263,1941,8818,107.5
9,Houston Rockets*,82,19855,3413,7290,.468,187,534,.350,3226,6756,.478,1806,2372,.761,1145,2428,3573,2015,800,439,1455,2013,8819,107.5
10,Boston Celtics*,82,19780,3475,7183,.484,133,459,.290,3342,6724,.497,1780,2294,.776,1048,2222,3270,2124,762,387,1191,1950,8863,108.1
11,Miami Heat,82,19855,3384,6928,.488,148,432,.343,3236,6496,.498,2021,2613,.773,1188,2366,3554,2062,926,553,1543,1830,8937,109.0
12,Seattle SuperSonics*,82,19780,3437,7067,.486,169,543,.311,3268,6524,.501,1915,2489,.769,1188,2252,3440,1958,670,413,1553,1881,8958,109.2
13,New Jersey Nets,82,19805,3560,7162,.497,158,512,.309,3402,6650,.512,1749,2286,.765,1030,2476,3506,2134,744,485,1376,1834,9027,110.1
14,Washington Bullets,82,19855,3486,7235,.482,155,510,.304,3331,6725,.495,1929,2510,.769,1132,2538,3670,2082,655,523,1381,1921,9056,110.4
15,Philadelphia 76ers*,82,19780,3658,7296,.501,170,495,.343,3488,6801,.513,1565,2023,.774,1149,2412,3561,2281,640,445,1269,1984,9051,110.4
16,Phoenix Suns*,82,19755,3589,7736,.464,181,568,.319,3408,7168,.475,1737,2308,.753,1252,2458,3710,2166,625,427,1368,2057,9096,110.9
17,Sacramento Kings,82,19780,3589,7420,.484,181,573,.316,3408,6847,.498,1747,2301,.759,1171,2604,3775,2107,759,442,1284,1821,9106,111.0
18,Indiana Pacers,82,19855,3453,7400,.467,167,547,.305,3286,6853,.479,2036,2606,.781,1288,2312,3600,2034,836,389,1206,2029,9109,111.1
19,San Antonio Spurs,82,19755,3486,7148,.488,172,532,.323,3314,6616,.501,2105,2714,.776,1256,2462,3718,2062,915,545,1728,1938,9249,112.8
20,New York Knicks*,82,19805,3636,7358,.494,152,534,.285,3484,6824,.511,1834,2390,.767,1213,2326,3539,2292,778,433,1688,1898,9258,112.9
21,Charlotte Hornets,82,19780,3555,7113,.500,115,399,.288,3440,6714,.512,2040,2629,.776,1191,2621,3812,2061,710,441,1425,1791,9265,113.0
22,Portland Trail Blazers*,82,19830,3572,7322,.488,198,546,.363,3374,6776,.498,1933,2504,.772,1151,2391,3542,2073,738,358,1569,1960,9275,113.1
23,Los Angeles Clippers,82,19855,3747,7738,.484,197,576,.342,3550,7162,.496,1834,2400,.764,1342,2550,3892,2384,933,551,1440,1882,9525,116.2
24,Denver Nuggets*,82,19880,3701,7484,.495,157,446,.352,3544,7038,.504,1977,2683,.737,1136,2864,4000,2136,665,485,1597,2001,9536,116.3
25,Golden State Warriors*,82,19905,3693,8000,.462,281,821,.342,3412,7179,.475,1916,2501,.766,1437,2639,4076,2215,861,485,1554,1935,9583,116.9
