Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,Chicago Bulls*,82,19855,3276,6967,.470,108,368,.293,3168,6599,.480,1670,2205,.757,1023,2268,3291,2079,597,415,1244,1880,8330,101.6
2,Cleveland Cavaliers*,82,19780,3383,7101,.476,127,400,.318,3256,6701,.486,1611,2044,.788,1159,2255,3414,1989,692,449,1439,2021,8504,103.7
3,Detroit Pistons*,82,19780,3334,7134,.467,114,394,.289,3220,6740,.478,1751,2298,.762,1144,2276,3420,1964,649,406,1328,2164,8533,104.1
4,Atlanta Hawks*,82,19780,3243,6885,.471,136,406,.335,3107,6479,.480,1927,2480,.777,1156,2353,3509,1976,640,353,1322,2008,8549,104.3
5,Utah Jazz*,82,19705,3273,7283,.449,146,464,.315,3127,6819,.459,1905,2475,.770,1277,2444,3721,1991,771,472,1467,2013,8597,104.8
6,Dallas Mavericks*,82,19755,3468,7385,.470,167,517,.323,3301,6868,.481,1499,1957,.766,1200,2233,3433,2240,612,436,1228,1997,8602,104.9
7,Indiana Pacers,82,19705,3335,7060,.472,118,368,.321,3217,6692,.481,1858,2446,.760,1160,2500,3660,1933,700,407,1269,1859,8646,105.4
8,Milwaukee Bucks*,82,19780,3344,7063,.473,133,442,.301,3211,6621,.485,1832,2410,.760,1172,2400,3572,2135,621,449,1346,1952,8653,105.5
9,New York Knicks*,82,19805,3202,6710,.477,114,375,.304,3088,6335,.487,2177,2806,.776,1155,2284,3439,2005,705,447,1631,1969,8695,106.0
10,Washington Bullets*,82,19880,3459,7235,.478,128,390,.328,3331,6845,.487,1670,2246,.744,1228,2364,3592,2134,690,527,1384,1966,8716,106.3
11,Los Angeles Lakers*,82,19805,3551,7467,.476,131,439,.298,3420,7028,.487,1538,2020,.761,1175,2249,3424,2200,732,390,1246,1940,8771,107.0
12,Philadelphia 76ers,82,19905,3501,7063,.496,143,423,.338,3358,6640,.506,1640,2163,.758,1109,2225,3334,2217,718,441,1280,2118,8785,107.1
13,Houston Rockets*,82,19680,3454,7420,.465,108,393,.275,3346,7027,.476,1805,2352,.767,1261,2506,3767,1951,737,365,1405,2012,8821,107.6
14,Boston Celtics*,82,19780,3497,7260,.482,110,366,.301,3387,6894,.491,1724,2249,.767,1122,2194,3316,2061,734,346,1176,1989,8828,107.7
15,New Jersey Nets,82,19780,3437,6918,.497,131,363,.361,3306,6555,.504,1895,2419,.783,1034,2461,3495,1993,809,522,1433,1942,8900,108.5
16,Los Angeles Clippers,82,19805,3513,7360,.477,124,363,.342,3389,6997,.484,1799,2309,.779,1241,2666,3907,2300,842,483,1452,1912,8949,109.1
17,Seattle SuperSonics*,82,19855,3298,6798,.485,130,400,.325,3168,6398,.495,2240,2992,.749,1128,2306,3434,1964,606,423,1533,1963,8966,109.3
18,Portland Trail Blazers*,82,19730,3492,7341,.476,141,462,.305,3351,6879,.487,2022,2632,.768,1153,2400,3553,2154,648,376,1443,2135,9147,111.5
19,Denver Nuggets*,82,19780,3608,7356,.490,113,377,.300,3495,6979,.501,1910,2508,.762,1179,2748,3927,2171,621,510,1606,1989,9239,112.7
20,Phoenix Suns,82,19730,3609,7248,.498,128,421,.304,3481,6827,.510,1922,2506,.767,1104,2416,3520,2225,710,441,1296,1901,9268,113.0
21,Sacramento Kings,82,19780,3718,7465,.498,120,370,.324,3598,7095,.507,1771,2326,.761,1153,2424,3577,2176,784,533,1195,1951,9327,113.7
22,Golden State Warriors,82,19780,3627,7244,.501,152,470,.323,3475,6774,.513,2047,2700,.758,1209,2509,3718,2271,747,432,1413,1811,9453,115.3
23,San Antonio Spurs*,82,19805,3851,7678,.502,157,450,.349,3694,7228,.511,1855,2390,.776,1292,2513,3805,2470,690,537,1427,1969,9714,118.5
